Mass,Intensity
198.012387,0
198.013048,0
198.013709,0
198.014369,0
200.182063,0
200.182735,0
200.183407,0
200.184078,0
200.18475,0.366117
200.185421,4.461346
200.186093,7.24927
200.186765,7.879293
200.187436,6.135103
200.188108,3.139578
200.18878,0.24317
200.189451,0
200.190123,0
200.190795,0
200.191466,0
200.350747,0
200.35142,0
200.352092,0
200.352765,0
200.353437,0.431057
200.354109,4.549019
200.354782,7.314417
200.355454,8.205346
200.356127,6.678452
200.356799,3.557855
200.357472,0
200.358144,0
200.358817,0
200.35949,0
200.468481,0
200.469155,0
200.469828,0
200.470501,0
200.471174,2.589677
200.471847,5.373515
200.47252,6.744751
200.473193,5.969902
200.473866,3.535736
200.474539,0.444464
200.475212,0.015133
200.475885,0
200.476558,0
200.477232,0
200.477905,0
200.727863,0
200.728537,0
200.729211,0
200.729886,0
200.73056,4.004054
200.731235,7.780584
200.731909,9.330815
200.732583,8.013776
200.733258,4.60409
200.733932,0.366705
200.734607,0
200.735281,0
200.735955,0
200.73663,0
201.064797,0
201.065474,0
201.06615,0
201.066826,0
201.067502,0.374397
201.068178,2.956249
201.068854,6.471778
201.06953,9.122175
201.070206,9.026976
201.070882,6.152627
201.071558,2.505329
201.072234,0.185271
201.072911,0
201.073587,0
201.074263,0
201.074939,0
201.097929,0
201.098605,0
201.099281,0
201.099958,0
201.100634,1.189799
201.10131,4.006998
201.101986,6.010063
201.102663,6.047947
201.103339,3.836537
201.104015,0.245437
201.104691,0
201.105368,0
201.106044,0
201.10672,0
201.118218,0
201.118894,0
201.11957,0
201.120247,0
201.120923,2.809013
201.121599,7.231394
201.122276,10.225526
201.122952,10.192495
201.123628,7.136111
201.124305,2.471596
201.124981,0.170089
201.125658,0
201.126334,0
201.12701,0
201.127687,0
201.135127,0
201.135804,0
201.13648,0
201.137156,0
201.137833,1.110705
201.138509,6.370319
201.139186,10.10413
201.139862,10.115831
201.140539,6.699922
201.141215,2.469299
201.141892,0
201.142568,0.112524
201.143244,3.341026
201.143921,6.097399
201.144597,7.72864
