Mass,Intensity
198.012387,0
198.013048,0
198.013709,0
198.014369,0
200.022314,0
200.022985,0
200.023656,0
200.024327,0
200.024997,3.406669
200.025668,7.894887
200.026339,10.726493
200.02701,10.082593
200.027681,5.945696
200.028352,0.550002
200.029022,0
200.029693,0
200.030364,0
200.031035,0
200.06928,0
200.069951,0
200.070622,0
200.071293,0
200.071964,5.056216
200.072635,23.185072
200.073306,43.116294
200.073977,58.314259
200.074648,59.764357
200.075319,43.411079
200.07599,19.178013
200.076661,6.013979
200.077333,1.105109
200.078004,0.069445
200.078675,0
200.079346,0
200.080017,0
200.080688,0
200.194826,0
200.195498,0
200.196169,0
200.196841,0
200.197513,0.564874
200.198185,4.098482
200.198856,8.547282
200.199528,10.744776
200.2002,9.21029
200.200871,5.148491
200.201543,0.472655
200.202215,0
200.202887,0
200.203558,0
200.20423,0
200.266044,0
200.266716,0
200.267388,0
200.26806,0
200.268732,0.601674
200.269404,4.07437
200.270076,7.260742
200.270748,8.511219
200.27142,7.011472
200.272092,3.696275
200.272764,0.335549
200.273437,0
200.274109,0
200.274781,0
200.275453,0
200.335282,0
200.335955,0
200.336627,0
200.3373,0
200.337972,0.720448
200.338645,4.739589
200.339317,7.755025
200.339989,8.675324
200.340662,6.982176
200.341334,3.643337
200.342007,0.065976
200.342679,0
200.343351,0
200.344024,0
200.344696,0
200.625399,0
200.626073,0
200.626747,0
200.627421,0
200.628094,0.733404
200.628768,4.705734
200.629442,8.429271
200.630116,10.670309
200.63079,10.107326
200.631464,7.045799
200.632138,3.28333
200.632812,0.301335
200.633486,0
200.634159,0
200.634833,0
200.635507,0
200.7164,0
200.717075,0
200.717749,0
200.718423,0
200.719098,0.511406
200.719772,6.141568
200.720446,10.533346
200.721121,11.898859
200.721795,9.318063
200.722469,4.219765
200.723144,0
200.723818,0
200.724492,0.283114
200.725167,4.370488
200.725841,7.297377
200.726516,13.665232
200.72719,25.063845
200.727864,27.54765
200.728539,24.107256
200.729213,17.84785
200.729887,8.209965
200.730562,0.725612
200.731236,3.572684
