Mass,Intensity
198.012387,0
198.013048,0
198.013709,0
198.014369,0
200.047137,0
200.047808,0
200.048479,0
200.04915,0
200.04982,0.086778
200.050491,3.28317
200.051162,6.851714
200.051833,8.870236
200.052504,7.766282
200.053175,4.38416
200.053846,0.58062
200.054517,0
200.055188,0
200.055859,0
200.05653,0
200.086057,0
200.086728,0
200.087399,0
200.088071,0
200.088742,5.232219
200.089413,17.784596
200.090084,43.685111
200.090755,76.827002
200.091426,99.300118
200.092097,95.802952
200.092769,68.886605
200.09344,36.053877
200.094111,13.684803
200.094782,1.492506
200.095453,0.015448
200.096125,0
200.096796,0
200.097467,0
200.098138,0
200.197513,0
200.198185,0
200.198856,0
200.199528,0
200.2002,8.811984
200.200871,23.496089
200.201543,35.061202
200.202215,36.349126
200.202887,26.569312
200.203558,9.879289
200.20423,1.094297
200.204902,0
200.205573,0
200.206245,0
200.206917,0
200.207589,0
200.20826,0
200.208932,0.555837
200.209604,4.458945
200.210276,8.245649
200.210948,10.635167
200.211619,10.300164
200.212291,7.369096
200.212963,3.422458
200.213635,0.427102
200.214306,0
200.214978,0
200.21565,0
200.216322,0
200.27142,0
200.272092,0
200.272764,0
200.273437,0
200.274109,1.180546
200.274781,6.072359
200.275453,8.509859
200.276125,8.612741
200.276797,6.639979
200.277469,3.574989
200.278141,0.469338
200.278813,0
200.279485,0
200.280158,0
200.28083,0
200.289568,0
200.29024,0
200.290912,0
200.291584,0
200.292256,0.809015
200.292928,4.416369
200.293601,7.284979
200.294273,8.378483
200.294945,7.164855
200.295617,4.132216
200.296289,0.551974
200.296962,0
200.297634,0
200.298306,0
200.298978,0
200.40523,0
200.405903,0
200.406575,0
200.407248,0
200.407921,4.191401
200.408594,9.50146
200.409266,11.973959
200.409939,10.7474
200.410612,6.555643
200.411285,2.231495
200.411957,0.235075
200.41263,0
200.413303,0
200.413976,0
200.414649,0
200.415321,0
200.415994,0
200.416667,0
200.41734,0
200.418013,0.572834
200.418685,3.350504
200.419358,6.52723
200.420031,8.420344
200.420704,7.833894
200.421377,4.83424
