Mass,Intensity
198.011669,0
198.01233,0
198.01299,0
198.013651,0
200.027616,0
200.028287,0
200.028958,0
200.029629,0
200.0303,0.71632
200.030971,4.961112
200.031642,9.171997
200.032312,10.916114
200.032983,9.094279
200.033654,4.980653
200.034325,0.617439
200.034996,0
200.035667,0
200.036338,0
200.037009,0
200.08465,0
200.085321,0
200.085993,0
200.086664,0
200.087335,0.634539
200.088006,7.281737
200.088677,31.962253
200.089348,76.049001
200.09002,121.600948
200.090691,140.630482
200.091362,112.386332
200.092033,64.221392
200.092704,26.474005
200.093375,8.835732
200.094047,4.440619
200.094718,0
200.095389,0
200.09606,0
200.096731,0
200.19409,0
200.194761,0
200.195433,0
200.196105,0
200.196776,0.028058
200.197448,2.49986
200.19812,8.299597
200.198791,12.184024
200.199463,12.399981
200.200135,8.84478
200.200807,3.66819
200.201478,0
200.20215,0
200.202822,0
200.203493,0
200.503421,0
200.504094,0
200.504767,0
200.505441,0
200.506114,0.623178
200.506787,4.447071
200.50746,8.584753
200.508134,10.19349
200.508807,8.160142
200.50948,4.075272
200.510154,0.866059
200.510827,0
200.5115,0
200.512173,0
200.512847,0
200.586929,0
200.587602,0
200.588276,0
200.58895,0
200.589623,0.343754
200.590297,3.454301
200.590971,11.686189
200.591644,18.31737
200.592318,20.013011
200.592992,15.475097
200.593665,7.817077
200.594339,1.877408
200.595013,0
200.595687,0
200.59636,0
200.597034,0
200.78783,0
200.788505,0
200.789179,0
200.789854,0
200.790529,0.682851
200.791203,4.749
200.791878,9.150202
200.792553,14.833826
200.793227,17.414118
200.793902,15.523649
200.794577,10.098428
200.795252,5.384418
200.795926,1.397847
200.796601,0
200.797276,0
200.79795,0
200.798625,0
201.012009,0
201.012684,0
201.01336,0
201.014036,0
201.014712,4.036099
201.015388,6.913138
201.016063,8.098985
201.016739,7.129612
201.017415,4.263432
201.018091,0.948025
201.018767,0
201.019443,0
201.020118,0
201.020794,0
201.10192,0
201.102597,0
201.103273,0
201.103949,0
201.104625,0.699566
201.105302,4.86798
201.105978,8.45409
201.106654,9.674832
201.10733,8.06157
201.108007,4.530668
201.108683,0.791507
201.109359,0
201.110036,0
201.110712,0
201.111388,0
201.405903,0
201.406581,0
201.407259,0
201.407937,0
201.408614,0.619953
201.409292,4.402873
201.40997,7.972573
201.410648,9.577542
201.411326,8.482379
201.412003,5.158706
201.412681,0.728216
201.413359,0
201.414037,0
201.414715,0
201.415393,0
201.621613,0
201.622292,0
201.622971,0
201.62365,0
201.624329,0.935132
201.625008,6.296911
201.625687,9.415236
201.626366,10.054537
201.627044,8.508764
201.627723,5.206785
201.628402,1.206293
201.629081,0
201.62976,0
201.630439,0
201.631118,0
201.967607,0
201.968288,0
201.968968,0
201.969649,0
201.97033,3.536572
201.97101,7.803178
