Mass,Intensity
198.011669,0
198.01233,0
198.01299,0
198.013651,0
200.214913,0
200.215585,0
200.216257,0
200.216929,0
200.2176,0.617191
200.218272,4.003386
200.218944,7.101491
200.219616,8.146207
200.220288,6.843623
200.220959,3.973645
200.221631,0.362064
200.222303,0
200.222975,0
200.223647,0
200.224319,0
200.313702,0
200.314375,0
200.315047,0
200.315719,0
200.316392,0.635149
200.317064,4.090587
200.317736,7.994073
200.318408,9.579052
200.319081,7.542525
200.319753,3.478355
200.320425,0.588573
200.321098,0
200.32177,0
200.322442,0
200.323115,0
200.61253,0
200.613204,0
200.613878,0
200.614552,0
200.615225,0.708025
200.615899,4.261547
200.616573,7.405801
200.617247,8.575604
200.617921,7.439183
200.618594,4.513291
200.619268,0.91446
200.619942,0
200.620616,0
200.62129,0
200.621964,0
200.667792,0
200.668466,0
200.66914,0
200.669814,0
200.670489,0.619143
200.671163,5.420782
200.671837,9.083127
200.672511,9.849912
200.673185,7.653305
200.673859,3.602742
200.674533,0
200.675207,0
200.675881,0
200.676555,0
200.708242,0
200.708917,0
200.709591,0
200.710265,0
200.710939,0.599574
200.711614,3.743254
200.712288,7.229531
200.712962,8.880398
200.713637,7.474423
200.714311,3.390874
200.714985,0
200.71566,0
200.716334,0
200.717008,0
200.764893,0
200.765568,0
200.766242,0
200.766917,0
200.767591,0.667672
200.768266,4.083923
200.76894,7.509912
200.769615,9.260597
200.77029,8.62491
200.770964,5.640324
200.771639,1.18288
200.772313,0
200.772988,0
200.773663,0
200.774337,0
200.850589,0
200.851264,0
200.851939,0
200.852614,0
200.853289,5.937746
200.853964,15.342208
200.854639,21.236939
200.855314,19.188431
200.855989,10.900394
200.856664,3.029581
200.857339,0.302486
200.858014,0
200.858689,0
200.859364,0
200.860039,0
200.862739,0
200.863415,0
200.86409,0
200.864765,0
200.86544,0.573507
200.866115,3.565331
200.86679,7.392203
200.867465,10.551638
200.86814,11.312866
200.868815,9.00847
200.86949,4.737862
200.870165,0.513991
200.87084,0
200.871515,0
200.87219,0
200.872866,0
201.003223,0
201.003899,0
201.004575,0
201.005251,0
201.005926,0.847827
201.006602,6.63112
201.007278,11.119661
201.007954,12.226918
201.00863,9.444226
201.009305,4.545836
201.009981,0.293795
201.010657,0
201.011333,0
201.012009,0
201.012684,0
201.033636,0
201.034312,0
201.034988,0
201.035664,0
201.03634,0.599882
201.037016,3.784608
201.037691,7.329667
201.038367,8.897494
201.039043,7.420653
201.039719,3.720426
201.040395,0.359467
201.041071,0
201.041747,0
201.042423,0
201.043099,0
201.071492,0
201.072168,0
201.072845,0
201.073521,0
201.074197,6.946228
201.074873,16.96781
201.075549,23.772098
201.076225,22.870107
201.076901,14.856277
201.077577,4.837418
201.078253,0.592162
201.07893,0.005538
201.079606,0
201.080282,0
