Mass,Intensity
198.011669,0
198.01233,0
198.01299,0
198.013651,0
200.055124,0
200.055795,0
200.056466,0
200.057137,0
200.057808,0.23862
200.058479,3.505339
200.05915,7.129941
200.059821,8.951853
200.060492,7.90735
200.061163,4.832423
200.061834,0.765046
200.062505,0.030612
200.063176,0
200.063847,0
200.064518,0
200.065189,0
200.215585,0
200.216257,0
200.216929,0
200.2176,0
200.218272,0.357815
200.218944,4.756624
200.219616,8.095546
200.220288,9.069087
200.220959,7.302908
200.221631,3.709919
200.222303,0
200.222975,0
200.223647,0
200.224319,0
200.246491,0
200.247163,0
200.247835,0
200.248507,0
200.249179,0.254043
200.249851,3.69644
200.250523,7.276608
200.251195,9.180068
200.251867,8.265305
200.252539,5.106104
200.253211,0.665053
200.253883,0
200.254555,0
200.255227,0
200.255899,0
200.311013,0
200.311686,0
200.312358,0
200.31303,0
200.313702,0.288697
200.314375,4.023695
200.315047,7.594976
200.315719,9.050795
200.316392,7.628734
200.317064,4.355507
200.317736,0.561453
200.318408,0.009934
200.319081,0
200.319753,0
200.320425,0
200.321098,0
200.38162,0
200.382293,0
200.382966,0
200.383638,0
200.384311,3.53597
200.384983,6.668613
200.385656,7.86445
200.386329,6.550735
200.387001,3.423582
200.387674,0.155409
200.388347,0
200.389019,0
200.389692,0
200.390365,0
200.717682,0
200.718357,0
200.719031,0
200.719705,0
200.72038,1.1153
200.721054,6.274527
200.721728,9.035335
200.722403,9.046731
200.723077,6.721614
200.723751,3.401782
200.724426,0.170523
200.7251,0
200.725775,0
200.726449,0
200.727123,0
200.995115,0
200.99579,0
200.996466,0
200.997142,0
200.997817,0.315423
200.998493,4.272992
200.999169,7.625654
200.999845,8.755717
201.00052,6.855438
201.001196,3.546296
201.001872,0.374104
201.002548,0
201.003223,0
201.003899,0
201.004575,0
201.093806,0
201.094482,0
201.095158,0
201.095834,0
201.09651,0.504081
201.097187,6.554243
201.097863,10.42962
201.098539,11.681606
201.099215,9.547655
201.099892,5.118555
201.100568,0
201.101244,0
201.10192,0
201.102597,0
201.12965,0
201.130326,0
201.131002,0
201.131679,0
201.132355,0.283717
201.133032,3.917044
201.133708,7.318551
201.134385,8.802506
201.135061,7.357594
201.135737,3.887177
201.136414,0.80455
201.13709,0.054104
201.137767,0
201.138443,0
201.13912,0
201.139796,0
201.289374,0
201.290051,0
201.290728,0
201.291406,0
201.292083,0.368422
201.29276,4.82547
201.293437,7.765457
201.294115,8.575391
201.294792,7.144207
201.295469,4.337345
201.296146,0.370138
201.296823,0
201.297501,0
201.298178,0
201.298855,0
201.447933,0
201.448611,0
201.449289,0
201.449967,0
201.450645,0.049062
201.451323,3.710883
201.452001,7.904684
201.452679,9.739536
201.453357,7.987838
201.454035,4.217055
201.454713,0.857787
201.455391,0.056312
201.456069,0
