Mass,Intensity
198.012331,0
198.012991,0
198.013652,0
198.014313,0
200.005486,0
200.006157,0
200.006828,0
200.007499,0
200.008169,0.0945
200.00884,4.969313
200.009511,8.55038
200.010182,10.454125
200.010852,9.870665
200.011523,7.125775
200.012194,0.888293
200.012865,0.019729
200.013536,0
200.014206,0
200.014877,0
200.015548,0
200.087341,0
200.088012,0
200.088683,0
200.089355,0
200.090026,3.830386
200.090697,15.836685
200.091368,31.805746
200.092039,42.437866
200.09271,40.431905
200.093382,27.552056
200.094053,12.477823
200.094724,3.127799
200.095395,0.079833
200.096066,0
200.096738,0
200.097409,0
200.09808,0
200.294887,0
200.295559,0
200.296231,0
200.296903,0
200.297575,0.099675
200.298248,4.994199
200.29892,8.093598
200.299592,9.329846
200.300264,7.915681
200.300936,4.488935
200.301609,0.389322
200.302281,0
200.302953,0
200.303625,0
200.304298,0
200.312365,0
200.313037,0
200.313709,0
200.314381,0
200.315054,4.903489
200.315726,8.160509
200.316398,9.289195
200.317071,7.624802
200.317743,4.179272
200.318415,0.358604
200.319088,0.007059
200.31976,0
200.320432,0
200.321105,0
200.321777,0
200.609169,0
200.609843,0
200.610516,0
200.61119,0
200.611864,6.123092
200.612538,10.087825
200.613212,11.145929
200.613885,8.782238
200.614559,4.788323
200.615233,0.133373
200.615907,0
200.616581,0
200.617254,0
200.617928,0
200.758156,0
200.75883,0
200.759505,0
200.760179,0
200.760854,2.383001
200.761528,9.662866
200.762203,14.226299
200.762877,14.75122
200.763552,11.204882
200.764226,4.97092
200.764901,0
200.765576,0
200.76625,0
200.766925,0
200.772996,0
200.773671,0
200.774345,0
200.77502,0
200.775694,2.998164
200.776369,9.317343
200.777044,14.161517
200.777718,13.585715
200.778393,8.017501
200.779068,2.19548
200.779742,0.058358
200.780417,0
200.781091,0
200.781766,0
200.782441,0
200.891778,0
200.892453,0
200.893128,0
200.893804,0
200.894479,1.340949
200.895154,5.872727
200.895829,9.60096
200.896504,10.603981
200.89718,8.261966
200.897855,3.982519
200.89853,0.111659
200.899205,0
200.899881,0
200.900556,0
200.901231,0
200.963368,0
200.964044,0
200.964719,0
200.965395,0
200.96607,0.103445
200.966746,4.218937
200.967421,7.509809
200.968097,9.130316
200.968773,8.18897
200.969448,5.279269
200.970124,0.305635
200.970799,0.004631
200.971475,0
200.972151,0
200.972826,0
200.973502,0
201.021479,0
201.022155,0
201.02283,0
201.023506,0
201.024182,0.077584
201.024858,3.664502
201.025534,6.795104
201.02621,8.227114
201.026886,6.96978
201.027561,3.936789
201.028237,0
201.028913,0
201.029589,0
201.030265,0
201.04108,0
201.041756,0
201.042432,0
201.043108,0
201.043784,1.467267
201.04446,6.438711
