Mass,Intensity
198.012331,0
198.012991,0
198.013652,0
198.014313,0
200.084657,0
200.085328,0
200.085999,0
200.08667,0
200.087341,1.521425
200.088012,13.740975
200.088683,22.63367
200.089355,47.623548
200.090026,120.957709
200.090697,234.81467
200.091368,339.666499
200.092039,326.557423
200.09271,213.952169
200.093382,98.135223
200.094053,27.479178
200.094724,27.208154
200.095395,38.591294
200.096066,57.025387
200.096738,64.10846
200.097409,60.784943
200.09808,50.641559
200.098751,31.793632
200.099422,5.179587
200.100094,0
200.100765,0
200.101436,0
200.102107,0
200.135672,0
200.136344,0
200.137015,0
200.137687,0
200.138358,1.182784
200.139029,7.932271
200.139701,13.99845
200.140372,16.982138
200.141044,15.640479
200.141715,10.376393
200.142386,2.068655
200.143058,0.079915
200.143729,0
200.144401,0
200.145072,0
200.145744,0
200.343293,0
200.343965,0
200.344638,0
200.34531,0
200.345983,0.531858
200.346655,6.700257
200.347328,14.097485
200.348,19.108707
200.348673,18.485323
200.349345,12.416344
200.350018,1.638765
200.35069,0
200.351362,0
200.352035,0
200.352707,0
200.58761,0
200.588284,0
200.588957,0
200.589631,0
200.590305,0.882889
200.590978,8.351916
200.591652,27.057181
200.592326,53.682312
200.592999,73.673851
200.593673,73.238243
200.594347,52.464353
200.59502,25.297697
200.595694,6.550481
200.596368,0.641663
200.597041,0
200.597715,0
200.598389,0
200.599063,0
200.659711,0
200.660385,0
200.661059,0
200.661733,0
200.662408,0.014888
200.663082,6.594544
200.663756,13.749957
200.66443,17.509345
200.665104,15.658773
200.665778,9.225814
200.666452,1.104154
200.667126,0
200.6678,0
200.668474,0
200.669148,0
200.799983,0
200.800657,0
200.801332,0
200.802007,0
200.802682,1.357484
200.803356,8.439308
200.804031,14.366899
200.804706,17.19189
200.805381,15.921627
200.806055,10.453791
200.80673,1.456105
200.807405,0
200.80808,0
200.808754,0
200.809429,0
201.039728,0
201.040404,0
201.04108,0
201.041756,0
201.042432,5.960921
201.043108,19.649569
201.043784,37.82507
201.04446,51.63375
201.045136,52.500278
201.045812,39.106416
201.046488,20.268951
201.047164,8.210555
201.047839,8.560133
201.048515,16.870482
201.049191,23.89495
201.049867,23.35905
201.050543,14.944861
201.051219,2.458368
201.051895,0
201.052571,0
201.053247,0
201.053923,0
201.107339,0
201.108016,0
201.108692,0
201.109368,0
201.110044,13.028561
201.110721,25.53835
201.111397,31.65941
201.112073,28.728632
201.11275,17.3775
201.113426,4.074072
201.114102,0.048117
201.114779,0
201.115455,0
201.116131,0
201.116808,0
201.132364,0
201.133041,0
201.133717,0
201.134393,0
201.13507,6.062377
201.135746,27.168985
201.136423,48.252817
201.137099,55.397828
201.137776,43.639713
