Mass,Intensity
198.012331,0
198.012991,0
198.013652,0
198.014313,0
200.085999,0
200.08667,0
200.087341,0
200.088012,0
200.088683,0.002581
200.089355,3.932858
200.090026,8.692275
200.090697,11.834332
200.091368,11.173318
200.092039,7.243036
200.09271,2.720889
200.093382,0
200.094053,0
200.094724,0
200.095395,0
200.451599,0
200.452272,0
200.452945,0
200.453618,0
200.454291,0.628177
200.454964,6.131285
200.455637,10.681104
200.45631,13.107436
200.456983,11.590983
200.457656,6.358866
200.458329,0
200.459002,0
200.459675,0
200.460348,0
200.473809,0
200.474482,0
200.475155,0
200.475828,0
200.476501,0.200327
200.477174,3.828814
200.477848,8.950044
200.478521,12.452484
200.479194,11.718948
200.479867,6.71286
200.48054,0
200.481213,0
200.481886,0
200.482559,0
200.593673,0
200.594347,0
200.59502,0
200.595694,0
200.596368,0.264551
200.597041,4.686727
200.597715,9.491877
200.598389,13.140591
200.599063,13.443593
200.599736,9.914916
200.60041,4.84511
200.601084,0.611153
200.601758,0.021876
200.602431,0
200.603105,0
200.603779,0
200.604453,0
200.712296,0
200.71297,0
200.713644,0
200.714319,0
200.714993,0.430805
200.715667,7.813619
200.716342,12.01635
200.717016,12.624185
200.71769,9.42736
200.718365,4.551168
200.719039,0.840409
200.719713,0.038308
200.720388,0
200.721062,0
200.721736,0
200.722411,0
200.729829,0
200.730503,0
200.731177,0
200.731852,0
200.732526,6.619812
200.733201,10.018916
200.733875,11.045661
200.734549,9.115683
200.735224,5.252728
200.735898,0.751492
200.736573,0.030029
200.737247,0
200.737921,0
200.738596,0
200.73927,0
200.963368,0
200.964044,0
200.964719,0
200.965395,0
200.96607,0.220826
200.966746,4.352571
200.967421,8.958544
200.968097,12.227582
200.968773,11.935702
200.969448,7.981837
200.970124,0.771356
200.970799,0.019239
200.971475,0
200.972151,0
200.972826,0
200.973502,0
201.154688,0
201.155364,0
201.156041,0
201.156717,0
201.157394,0.242911
201.15807,4.403868
201.158747,8.973825
201.159423,11.066466
201.1601,9.090753
201.160776,4.589538
201.161453,0.049909
201.16213,0
201.162806,0
201.163483,0
201.164159,0
201.290738,0
201.291415,0
201.292092,0
201.292769,0
201.293447,0.243349
201.294124,4.621123
201.294801,9.155975
201.295478,11.948492
201.296156,11.130779
201.296833,6.627546
201.29751,0
201.298187,0
201.298864,0
201.299542,0
201.357121,0
201.357798,0
201.358476,0
201.359153,0
201.359831,5.79483
201.360508,12.749651
201.361186,16.104592
201.361864,15.685129
201.362541,11.884333
201.363219,3.149688
201.363896,0
201.364574,0
201.365251,0
201.365929,0.248607
201.366607,5.274243
201.367284,8.943225
201.367962,10.331104
201.368639,9.081202
201.369317,6.200376
