Mass,Intensity
198.012336,0
198.012997,0
198.013658,0
198.014318,0
200.237768,0
200.23844,0
200.239112,0
200.239784,0
200.240456,0.8837
200.241128,5.476894
200.2418,9.971752
200.242471,12.159205
200.243143,10.810177
200.243815,6.515282
200.244487,1.174722
200.245159,0
200.245831,0
200.246503,0
200.247175,0
200.630737,0
200.631411,0
200.632085,0
200.632758,0
200.633432,0.781576
200.634106,5.63449
200.63478,11.138589
200.635454,13.392956
200.636128,10.911927
200.636802,5.694253
200.637476,1.188953
200.63815,0
200.638824,0
200.639497,0
200.640171,0
200.847903,0
200.848578,0
200.849253,0
200.849928,0
200.850603,1.36325
200.851278,8.897506
200.851953,13.061128
200.852628,13.126753
200.853303,9.632384
200.853978,4.593111
200.854653,0.338585
200.855328,0
200.856003,0
200.856678,0
200.857353,0
200.87693,0
200.877605,0
200.87828,0
200.878955,0
200.87963,1.681746
200.880306,11.88179
200.880981,22.206784
200.881656,25.961979
200.882331,21.195307
200.883006,11.435678
200.883681,2.550514
200.884356,0
200.885032,0
200.885707,0
200.886382,0
201.017429,0
201.018105,0
201.018781,0
201.019457,0
201.020132,2.13593
201.020808,14.405015
201.021484,22.175983
201.02216,23.67919
201.022836,18.614439
201.023512,9.630561
201.024188,0.990053
201.024863,0
201.025539,0
201.026215,0
201.026891,0
201.325285,0
201.325963,0
201.32664,0
201.327317,0
201.327995,0.960711
201.328672,6.708634
201.32935,11.830257
201.330027,14.106099
201.330704,12.034762
201.331382,6.702562
201.332059,0.861791
201.332737,0
201.333414,0
201.334092,0
201.334769,0
201.339511,0
201.340189,0
201.340866,0
201.341543,0
201.342221,1.082108
201.342898,7.202264
201.343576,11.111754
201.344253,11.96482
201.344931,9.74759
201.345608,5.364548
201.346286,1.198033
201.346963,0
201.347641,0
201.348318,0
201.348996,0
201.442524,0
201.443202,0
201.44388,0
201.444558,0
201.445236,0.862313
201.445914,6.146803
201.446592,11.58345
201.44727,13.536166
201.447948,10.951253
201.448626,5.494691
201.449304,0.528785
201.449982,0
201.45066,0
201.451338,0
201.452016,0
201.842446,0
201.843126,0
201.843806,0
201.844486,0
201.845166,1.100803
201.845846,7.575064
201.846526,12.818657
201.847206,14.758062
201.847886,11.838623
201.848566,5.915326
201.849246,0.624526
201.849926,0
201.850606,0
201.851286,0
201.851966,0
201.862167,0
201.862848,0
201.863528,0
201.864208,0
201.864888,5.098684
201.865568,10.472454
201.866248,13.72426
201.866928,12.87237
201.867608,7.988459
201.868288,1.160776
201.868969,0
201.869649,0
201.870329,0
201.871009,0
202.020042,0
202.020723,0
202.021404,0
202.022085,0
202.022766,0.756161
202.023447,5.424631
202.024128,10.228112
202.024808,12.292849
202.025489,10.389968
202.02617,5.706046
202.026851,0.976178
202.027532,0
202.028213,0
202.028894,0
202.029575,0
202.228557,0
202.229239,0
202.229921,0
202.230603,0
202.231285,1.065898
202.231967,7.282133
202.232649,11.901435
202.23333,13.633729
