Mass,Intensity
198.012336,0
198.012997,0
198.013658,0
198.014318,0
200.169252,0
200.169923,0
200.170595,0
200.171266,0
200.171938,1.975956
200.172609,8.510111
200.173281,16.294674
200.173953,20.337487
200.174624,18.051201
200.175296,10.181632
200.175967,2.230271
200.176639,0
200.17731,0
200.177982,0
200.178654,0
200.302286,0
200.302959,0
200.303631,0
200.304303,0
200.304975,1.153988
200.305647,6.324759
200.30632,11.775973
200.306992,14.819751
200.307664,14.542483
200.308336,11.141952
200.309009,6.0708
200.309681,1.704494
200.310353,0
200.311026,0
200.311698,0
200.31237,0
200.420651,0
200.421324,0
200.421996,0
200.422669,0
200.423342,1.179166
200.424015,5.128662
200.424688,9.708
200.425361,11.74345
200.426033,10.088912
200.426706,5.720389
200.427379,1.54901
200.428052,0
200.428725,0
200.429398,0
200.430071,0
200.433435,0
200.434108,0
200.434781,0
200.435454,0
200.436127,2.006675
200.4368,7.522433
200.437472,11.782748
200.438145,12.727687
200.438818,10.425105
200.439491,5.82445
200.440164,1.376763
200.440837,0
200.44151,0
200.442183,0
200.442856,0
200.628715,0
200.629389,0
200.630063,0
200.630737,0
200.631411,1.411098
200.632085,5.928963
200.632758,10.813067
200.633432,12.850064
200.634106,11.028118
200.63478,6.26053
200.635454,1.705046
200.636128,0
200.636802,0
200.637476,0
200.63815,0
200.673872,0
200.674546,0
200.67522,0
200.675894,0
200.676569,1.069656
200.677243,5.984473
200.677917,10.604464
200.678591,12.063141
200.679265,9.981468
200.679939,5.538484
200.680613,1.427106
200.681287,0
200.681962,0
200.682636,0
200.68331,0
200.87558,0
200.876255,0
200.87693,0
200.877605,0
200.87828,1.150783
200.878955,5.086306
200.87963,9.799038
200.880306,11.99092
200.880981,10.326565
200.881656,5.650485
200.882331,1.222406
200.883006,0
200.883681,0
200.884356,0
200.885032,0
200.97621,0
200.976885,0
200.977561,0
200.978237,0
200.978912,1.170323
200.979588,6.747327
200.980263,12.647402
200.980939,15.153886
200.981615,13.481554
200.98229,8.08268
200.982966,2.067
200.983642,0
200.984317,0
200.984993,0
200.985669,0
201.116813,0
201.117489,0
201.118166,0
201.118842,0
201.119518,0.092412
201.120195,2.184008
201.120871,7.870575
201.121547,12.579349
201.122224,13.619803
201.1229,9.558271
201.123577,3.006957
201.124253,0
201.124929,0
201.125606,0
201.126282,0
201.17499,0
201.175667,0
201.176343,0
201.17702,0
201.177697,1.232035
201.178373,5.308073
201.17905,10.018986
201.179727,12.427125
201.180403,11.421624
201.18108,7.18141
201.181757,2.142281
201.182433,0
201.18311,0
201.183787,0
201.184463,0
201.378809,0
201.379487,0
201.380165,0
201.380842,0
201.38152,1.502744
201.382198,7.720845
201.382875,12.843769
201.383553,15.075384
201.384231,13.632389
201.384908,8.190905
201.385586,1.884247
201.386264,0
201.386941,0
201.387619,0
201.388297,0
201.544937,0
201.545616,0
201.546294,0
201.546973,0
201.547651,1.554858
201.54833,7.339606
