Mass,Intensity
198.012336,0
198.012997,0
198.013658,0
198.014318,0
200.008175,0
200.008846,0
200.009516,0
200.010187,0
200.010858,5.753997
200.011529,13.529539
200.012199,16.9297
200.01287,15.741772
200.013541,11.007213
200.014212,4.025658
200.014883,0
200.015553,0
200.016224,0
200.016895,0
200.033666,0
200.034337,0
200.035008,0
200.035678,0
200.036349,0.262347
200.03702,5.437638
200.037691,10.096983
200.038362,12.282079
200.039033,10.572389
200.039704,6.032992
200.040375,0.754039
200.041046,0
200.041717,0
200.042387,0
200.043058,0
200.342626,0
200.343298,0
200.343971,0
200.344643,0
200.345316,0.455585
200.345988,5.68711
200.346661,11.575898
200.347333,14.460997
200.348006,12.614598
200.348678,7.198183
200.349351,0
200.350023,0
200.350695,0
200.351368,0
200.563366,0
200.564039,0
200.564713,0
200.565386,0
200.56606,0.072734
200.566733,1.785587
200.567407,7.995264
200.56808,14.227654
200.568754,16.418796
200.569428,12.448819
200.570101,5.202121
200.570775,0
200.571448,0
200.572122,0
200.572795,0
200.573469,0
200.574143,0.045438
200.574816,1.390071
200.57549,10.662715
200.576163,16.070294
200.576837,16.845016
200.577511,12.499636
200.578184,5.912385
200.578858,0
200.579532,0
200.580205,0
200.580879,0
200.605805,0
200.606479,0
200.607153,0
200.607827,0
200.6085,0.329143
200.609174,6.955965
200.609848,11.375167
200.610522,12.704637
200.611196,9.974412
200.611869,5.093164
200.612543,0.256101
200.613217,0
200.613891,0
200.614565,0
200.615238,0
200.790542,0
200.791217,0
200.791891,0
200.792566,0
200.793241,0.255876
200.793916,5.501281
200.79459,10.039479
200.795265,11.692388
200.79594,9.935409
200.796614,5.816373
200.797289,0.54729
200.797964,0
200.798639,0
200.799313,0
200.799988,0
201.016753,0
201.017429,0
201.018105,0
201.018781,0
201.019457,0.164259
201.020132,3.858048
201.020808,14.781799
201.021484,30.452662
201.02216,40.671166
201.022836,38.251074
201.023512,25.419465
201.024188,11.338942
201.024863,1.943382
201.025539,0
201.026215,0
201.026891,0
201.027567,0
201.239962,0
201.240639,0
201.241316,0
201.241993,0
201.24267,7.983453
201.243347,12.734394
201.244024,13.583897
201.244701,10.101487
201.245378,4.627889
201.246055,0
201.246732,0
201.247409,0
201.248086,0
201.699723,0
201.700402,0
201.701081,0
201.701761,0
201.70244,0.231507
201.703119,5.201581
201.703798,9.145131
201.704478,11.274065
201.705157,10.617927
201.705836,7.310908
201.706516,0.636457
201.707195,0
201.707874,0
201.708554,0
201.709233,0
202.073843,0
202.074525,0
202.075206,0
202.075887,0
202.076568,0.316909
202.077249,7.296329
202.07793,13.446005
202.078612,16.481883
202.079293,14.729039
202.079974,9.241694
202.080655,3.204625
202.081336,0
202.082018,0
202.082699,0
202.08338,0
202.127666,0
202.128348,0
202.129029,0
202.129711,0
202.130392,1.905327
202.131073,8.324583
202.131755,13.826875
202.132436,15.732446
202.133118,12.649014
202.133799,5.975466
202.134481,0
