Mass,Intensity
198.012037,0
198.012698,0
198.013358,0
198.014019,0
200.043426,0
200.044097,0
200.044768,0
200.045439,0
200.04611,2.35902
200.046781,6.045004
200.047452,8.24441
200.048123,8.102156
200.048794,5.639316
200.049465,1.884218
200.050136,0
200.050807,0
200.051478,0
200.052149,0
200.085701,0
200.086373,0
200.087044,0
200.087715,0
200.088386,3.669447
200.089057,12.49845
200.089728,34.066544
200.090399,57.050576
200.091071,62.255764
200.091742,45.251595
200.092413,23.382616
200.093084,8.66426
200.093755,1.073883
200.094427,0
200.095098,0
200.095769,0
200.09644,0
200.281146,0
200.281818,0
200.28249,0
200.283162,0
200.283834,2.426451
200.284506,6.613861
200.285178,9.490668
200.285851,9.34684
200.286523,6.154164
200.287195,2.102974
200.287867,0.003682
200.288539,0
200.289211,0
200.289884,0
200.290556,0
200.366532,0
200.367205,0
200.367877,0
200.36855,0
200.369223,1.089233
200.369895,4.862139
200.370568,7.595593
200.37124,7.892257
200.371913,5.775853
200.372585,1.903601
200.373258,0
200.373931,0
200.374603,0
200.375276,0
200.604828,0
200.605502,0
200.606175,0
200.606849,0
200.607523,1.850183
200.608197,6.816247
200.60887,9.270752
200.609544,8.693127
200.610218,5.588589
200.610892,1.818706
200.611566,0.003635
200.612239,0
200.612913,0
200.613587,0
200.614261,0
201.082696,0
201.083372,0
201.084048,0
201.084725,0
201.085401,0.750529
201.086077,8.637742
201.086753,13.345096
201.087429,14.255101
201.088105,10.825858
201.088782,5.381373
201.089458,0.012715
201.090134,0
201.09081,0
201.091486,0.76137
201.092163,8.479567
201.092839,10.436715
201.093515,11.236811
201.094191,10.14746
201.094867,6.813961
201.095544,0.016151
201.09622,0
201.096896,0
201.097572,0
201.098249,0
201.117861,0
201.118537,0
201.119214,0
201.11989,0
201.120566,0.732762
201.121243,7.525464
201.121919,12.420968
201.122595,13.62008
201.123272,10.710847
201.123948,5.157327
201.124625,0.006765
201.125301,0
201.125977,0
201.126654,0
201.12733,0
201.222734,0
201.223411,0
201.224088,0
201.224765,0
201.225442,2.23378
201.226119,6.377956
201.226796,9.179775
201.227472,8.541307
201.228149,4.793775
201.228826,0.791153
201.229503,0
201.23018,0
201.230857,0
201.231534,0
201.320916,0
201.321593,0
201.322271,0
201.322948,0
201.323625,2.997096
201.324303,7.858488
201.32498,10.367286
201.325658,9.525646
201.326335,5.832587
201.327012,1.85756
201.32769,0
201.328367,0
201.329045,0
201.329722,0
201.431371,0
201.432049,0
201.432727,0
201.433405,0
201.434083,3.458548
201.434761,8.929841
201.435439,12.321095
201.436117,11.290874
201.436795,6.789343
201.437473,2.023895
201.438151,0
201.438829,0
201.439507,0
201.440185,0
201.499859,0
201.500537,0
201.501215,0
201.501894,0
201.502572,2.746834
201.50325,6.871129
201.503928,8.60788
201.504607,7.690467
201.505285,4.712499
201.505963,1.290029
201.506642,0
201.50732,0
201.507998,0
201.508677,2.929431
201.509355,7.073822
201.510033,8.937362
201.510711,8.121473
201.51139,5.200151
201.512068,1.759852
201.512746,0
201.513425,0
201.514103,0
201.514781,0
201.602995,0
201.603674,0
201.604352,0
201.605031,0
201.60571,1.95437
201.606389,5.37086
201.607068,7.787261
201.607746,8.184009
201.608425,6.684699
201.609104,2.740852
201.609783,0.007544
201.610462,0
201.61114,0
201.611819,0
201.612498,0
201.702134,0
201.702813,0
201.703493,0
201.704172,0
201.704851,2.771419
201.705531,7.016204
201.70621,9.606447
201.706889,9.540655
201.707569,6.667163
201.708248,2.472311
201.708927,0.0037
201.709606,0
201.710286,0
201.710965,0
201.711644,0
201.725911,0
201.726591,0
201.72727,0
201.72795,0
201.728629,2.579345
201.729308,6.390795
201.729988,9.081579
201.730667,8.87484
201.731347,5.933124
201.732026,1.357884
201.732706,0.003842
201.733385,0
201.734064,0
201.734744,0
201.735423,0
201.788431,0
201.789111,0
201.789791,0
201.79047,0
201.79115,1.862916
201.79183,5.383104
201.79251,8.319791
201.793189,9.136815
201.793869,7.321812
201.794549,3.026053
201.795229,0.008751
201.795908,0
201.796588,0
201.797268,0
201.797948,0
201.828541,0
201.829221,0
201.829901,0
201.830581,0
201.831261,3.954647
201.831941,9.186637
201.832621,11.636596
201.8333,10.489944
201.83398,6.79246
201.83466,1.494663
201.83534,0
201.83602,0
201.8367,0
201.83738,0
201.863902,0
201.864582,0
201.865262,0
201.865942,0
201.866622,2.71859
201.867302,6.399507
201.867982,7.756184
201.868663,7.099825
201.869343,4.743109
201.870023,1.459044
201.870703,0
201.871383,0
201.872063,0
201.872743,0
201.969359,0
201.97004,0
201.970721,0
201.971401,0
201.972082,2.685068
201.972762,6.90418
201.973443,9.271921
201.974124,8.645434
201.974804,5.395609
201.975485,1.780735
201.976166,0.005382
201.976846,0
201.977527,0
201.978208,0
201.978888,0
202.01497,0
202.015651,0
202.016331,0
202.017012,0
202.017693,2.267123
202.018374,6.38902
202.019055,9.590901
202.019736,10.170856
202.020417,7.544917
202.021098,2.117725
202.021779,0
202.022459,0
202.02314,0
202.023821,0
202.173705,0
202.174387,0
202.175069,0
202.17575,0
202.176432,2.682295
202.177114,7.776024
202.177796,12.821789
202.178477,14.556375
202.179159,11.576267
202.179841,5.839609
202.180522,0
202.181204,0
202.181886,0
202.182567,0
202.184613,0
202.185294,0
202.185976,0
202.186658,0
202.18734,8.244468
202.188021,23.23089
202.188703,34.44634
202.189385,33.321634
202.190067,20.303105
202.190748,5.793042
202.19143,0.006814
202.192112,0
202.192794,0
202.193475,0
202.194157,0
202.310791,0
202.311473,0
202.312156,0
202.312838,0
202.31352,1.988686
202.314203,6.328851
202.314885,9.834576
202.315568,10.674836
202.31625,8.232327
202.316932,3.281754
202.317615,0
202.318297,0
202.31898,0
202.319662,0
202.363343,0
202.364026,0
202.364708,0
202.365391,0
202.366074,2.265046
202.366756,5.754869
202.367439,7.762526
202.368122,7.659874
202.368804,5.64944
202.369487,2.195298
202.37017,0.00729
202.370852,0
202.371535,0
202.372218,0
202.3729,0
202.388603,0
202.389286,0
202.389968,0
202.390651,0
202.391334,2.668084
202.392017,7.260418
202.3927,10.848837
202.393382,11.291883
202.394065,8.396762
202.394748,3.020137
202.395431,0
202.396113,0
202.396796,0
202.397479,0
202.427526,0
202.428209,0
202.428892,0
202.429575,0
202.430258,2.598769
202.430941,6.618176
202.431624,8.807426
202.432306,8.154721
202.432989,5.10405
202.433672,1.418647
202.434355,0
202.435038,0
202.435721,0
202.436404,0
202.519756,0
202.52044,0
202.521123,0
202.521806,0
202.52249,1.845149
202.523173,5.66345
202.523857,8.196758
202.52454,8.170857
202.525224,5.795151
202.525907,2.377235
202.526591,0
202.527274,0
202.527957,0
202.528641,0
202.596321,0
202.597005,0
202.597689,0
202.598373,0
202.599056,1.138269
202.59974,4.728773
202.600424,7.725212
202.601108,8.509521
202.601792,6.584244
202.602476,2.319052
202.603159,0.008652
202.603843,0
202.604527,0
202.605211,0
202.605895,0
202.684561,0
202.685246,0
202.68593,0
202.686614,0
202.687298,0.664664
202.687983,7.281452
202.688667,10.813999
202.689351,10.996271
202.690035,7.898712
202.69072,3.577201
202.691404,0
202.692088,0
202.692773,0
202.693457,0
202.814633,0
202.815317,0
202.816002,0
202.816687,0
202.817372,2.759419
202.818057,6.727718
202.818742,8.699689
202.819427,8.053866
202.820112,5.152832
202.820797,1.5171
202.821482,0
202.822167,0
202.822852,0
202.823537,0
202.881086,0
202.881771,0
202.882456,0
202.883141,0
202.883827,1.713777
202.884512,5.183486
202.885197,8.069948
202.885882,8.219973
202.886568,5.351529
202.887253,1.263031
202.887938,0
202.888624,0
202.889309,0
202.889994,0
202.99077,0
202.991456,0
202.992142,0
202.992828,0
202.993514,2.823459
202.994199,7.716655
202.994885,12.2019
202.995571,13.773063
202.996257,11.578343
202.996943,7.104579
202.997629,1.993103
202.998314,0.00752
202.999,0
202.999686,0
203.000372,0
203.001058,0
203.059368,0
203.060055,0
203.060741,0
203.061427,0
203.062113,2.345309
203.062799,6.847156
203.063485,10.233491
203.064172,15.436606
203.064858,18.684896
