Mass,Intensity
198.012387,0
198.013048,0
198.013709,0
198.014369,0
200.023656,0
200.024327,0
200.024997,0
200.025668,0
200.026339,3.034481
200.02701,5.519564
200.027681,6.30778
200.028352,5.140578
200.029022,2.725768
200.029693,0.125828
200.030364,0
200.031035,0
200.031706,0
200.032377,0
200.069951,0
200.070622,0
200.071293,0
200.071964,0
200.072635,2.056969
200.073306,6.043676
200.073977,13.365091
200.074648,21.544345
200.075319,24.921612
200.07599,21.345777
200.076661,14.083518
200.077333,6.503485
200.078004,0.77428
200.078675,0.024262
200.079346,0
200.080017,0
200.080688,0
200.081359,0
200.085386,0
200.086057,0
200.086728,0
200.087399,0
200.088071,0.304553
200.088742,2.937898
200.089413,5.1296
200.090084,5.67879
200.090755,4.058165
200.091426,1.371321
200.092097,0
200.092769,0
200.09344,0
200.094111,0
200.15856,0
200.159231,0
200.159903,0
200.160574,0
200.161246,0.340305
200.161917,3.159978
200.162589,5.420549
200.16326,6.23207
200.163932,4.964564
200.164604,2.551478
200.165275,0
200.165947,0
200.166618,0
200.16729,0
200.198856,0
200.199528,0
200.2002,0
200.200871,0
200.201543,0.324453
200.202215,3.031176
200.202887,5.372529
200.203558,6.154943
200.20423,4.928735
200.204902,2.526489
200.205573,0
200.206245,0
200.206917,0
200.207589,0
200.255964,0
200.256636,0
200.257308,0
200.25798,0
200.258652,0.34257
200.259324,3.159485
200.259996,5.32044
200.260668,5.912175
200.26134,5.475611
200.262012,6.40113
200.262684,7.066801
200.263356,7.928816
200.264028,6.233013
200.2647,2.990814
200.265372,0.59688
200.266044,4.155688
200.266716,6.25656
200.267388,6.595501
200.26806,5.142926
200.268732,2.790407
200.269404,0.129993
200.270076,0
200.270748,0
200.27142,0
200.272092,0
200.430124,0
200.430797,0
200.431469,0
200.432142,0
200.432815,0.155919
200.433488,3.505128
200.434161,5.864652
200.434834,6.352638
200.435507,4.616317
200.43618,1.983303
200.436853,0.090501
200.437526,0
200.438198,0
200.438871,0
200.439544,0
200.595753,0
200.596426,0
200.5971,0
200.597774,0
