Mass,Intensity
198.012387,0
198.013048,0
198.013709,0
198.014369,0
200.135059,0
200.135731,0
200.136402,0
200.137073,0
200.137745,0.030751
200.138416,3.943003
200.139088,7.359465
200.139759,8.716963
200.14043,7.139649
200.141102,3.683608
200.141773,0.720664
200.142445,0
200.143116,0
200.143788,0
200.144459,0
200.609901,0
200.610575,0
200.611249,0
200.611923,0
200.612596,1.523447
200.61327,5.497294
200.613944,9.378968
200.614618,11.001106
200.615292,9.731467
200.615965,5.716977
200.616639,1.391062
200.617313,0
200.617987,0
200.618661,0
200.619334,0
200.685386,0
200.68606,0
200.686734,0
200.687408,0
200.688082,2.004224
200.688756,6.642064
200.689431,10.127297
200.690105,10.70945
200.690779,8.595889
200.691453,4.538195
200.692127,1.019886
200.692802,0
200.693476,0
200.69415,0
200.694824,0
200.749446,0
200.75012,0
200.750795,0
200.751469,0
200.752144,1.606499
200.752818,5.701974
200.753493,9.311986
200.754167,10.529167
200.754842,9.013809
200.755516,4.874907
200.756191,0.784715
200.756865,0
200.75754,0
200.758214,0
200.758889,0
200.854706,0
200.855381,0
200.856056,0
200.856731,0
200.857406,1.809697
200.858081,5.837754
200.858756,9.003463
200.859431,9.920795
200.860106,8.453576
200.860781,4.65465
200.861456,1.063814
200.862132,3.050777
200.862807,10.878064
200.863482,19.398632
200.864157,25.860688
200.864832,29.872609
200.865507,26.868754
200.866182,17.464217
200.866857,9.20494
200.867532,3.849132
200.868207,0.781041
200.868882,0
200.869557,0
200.870232,0
200.870907,0
200.921549,0
200.922224,0
200.9229,0
200.923575,0
200.92425,1.368104
200.924926,5.689394
200.925601,9.322361
200.926276,9.911932
200.926952,7.362904
200.927627,3.547034
200.928303,0.89673
200.928978,0
200.929653,0
200.930329,0
200.931004,0
201.001939,0
201.002615,0
201.003291,0
201.003967,0
201.004642,1.321199
201.005318,6.513924
201.005994,10.612772
201.00667,11.311883
201.007346,8.606491
201.008021,4.283961
201.008697,0.916141
201.009373,0
201.010049,0
201.010725,0
201.0114,0
201.055335,0
201.056011,0
201.056687,0
