Mass,Intensity
198.011827,0
198.012488,0
198.013148,0
198.013809,0
200.025769,0
200.02644,0
200.027111,0
200.027782,0
200.028453,0.611653
200.029123,3.687807
200.029794,6.397896
200.030465,7.236937
200.031136,5.548303
200.031807,2.522611
200.032478,0.008689
200.033149,0
200.03382,0
200.03449,0
200.035161,0
200.209705,0
200.210377,0
200.211049,0
200.21172,0
200.212392,0.82621
200.213064,5.103447
200.213736,8.253681
200.214407,9.023094
200.215079,6.917008
200.215751,3.332766
200.216423,0.012518
200.217095,0
200.217766,0
200.218438,0
200.21911,0
200.336728,0
200.337401,0
200.338073,0
200.338746,0
200.339418,2.988826
200.34009,7.945983
200.340763,11.519473
200.341435,10.863049
200.342108,6.242631
200.34278,0.387858
200.343453,0
200.344125,0
200.344797,0
200.34547,0
200.422151,0
200.422823,0
200.423496,0
200.424169,0
200.424842,0.64569
200.425515,3.822127
200.426188,5.997979
200.426861,6.590909
200.427533,5.277485
200.428206,2.709583
200.428879,0.011856
200.429552,0
200.430225,0
200.430898,0
200.431571,0
200.58777,0
200.588443,0
200.589117,0
200.589791,0
200.590464,0.508028
200.591138,5.367097
200.591812,8.768795
200.592485,12.757974
200.593159,13.882759
200.593833,11.817836
200.594506,6.759676
200.59518,3.034209
200.595854,0
200.596528,0
200.597201,0
200.597875,0
200.678071,0
200.678745,0
200.67942,0
200.680094,0
200.680768,0.742149
200.681442,4.477011
200.682116,7.153179
200.68279,7.705111
200.683464,5.720531
200.684138,2.551119
200.684813,0
200.685487,0
200.686161,0
200.686835,0
200.775854,0
200.776529,0
200.777204,0
200.777878,0
200.778553,0.551853
200.779228,3.56165
200.779902,5.759428
200.780577,6.539373
200.781251,5.45404
200.781926,2.982228
200.782601,0.01405
200.783275,0
200.78395,0
200.784625,0
200.785299,0
200.872359,0
200.873034,0
200.873709,0
200.874384,0
200.875059,2.113894
200.875734,8.1777
200.876409,14.145593
200.877085,15.025698
200.87776,10.397853
200.878435,3.344665
200.87911,0
200.879785,0
200.88046,0
200.881135,0
200.900716,0
200.901391,0
200.902066,0
200.902742,0
200.903417,10.877626
200.904092,27.968596
200.904768,39.940373
200.905443,39.099115
200.906118,25.529938
200.906793,7.849015
200.907469,0.038347
200.908144,0
200.908819,0
200.909494,0
200.91017,0
200.949342,0
200.950018,0
200.950693,0
200.951369,0
200.952044,0.565586
200.95272,3.466609
200.953395,5.926909
200.954071,6.85868
200.954746,5.234406
200.955422,2.202268
200.956097,0
200.956773,0
200.957448,0
200.958124,0
201.13726,0
201.137936,0
201.138612,0
201.139289,0
201.139965,0.513169
201.140642,3.67913
201.141318,6.170851
201.141995,6.88651
201.142671,5.319927
201.143348,2.312548
201.144024,0
201.1447,0
201.145377,0
201.146053,0
201.152818,0
201.153495,0
201.154171,0
201.154848,0
201.155524,2.489246
201.156201,19.342651
201.156878,48.03138
201.157554,81.942895
201.158231,101.886997
201.158907,93.485281
201.159584,62.089069
201.16026,31.314975
201.160937,12.160508
201.161613,2.926291
201.16229,0.01545
201.162967,0
201.163643,0
201.16432,0
201.164996,0
201.265167,0
201.265844,0
201.266521,0
201.267198,0
201.267875,1.607344
201.268552,5.743501
201.269229,7.346412
201.269906,6.930009
201.270583,4.633379
201.271261,1.630985
201.271938,0
201.272615,0
201.273292,0
201.273969,0
201.291575,0
201.292253,0
201.29293,0
201.293607,0
201.294284,0.895534
201.294962,5.205264
201.295639,7.809862
201.296316,8.308118
201.296993,6.351797
201.297671,3.102282
201.298348,0.017269
201.299025,0
201.299702,0
201.30038,0
201.301057,0
201.355249,0
201.355926,0
201.356604,0
201.357281,0
201.357959,5.840287
201.358636,19.579776
201.359314,26.091746
201.359992,24.421361
201.360669,15.705524
201.361347,5.375855
201.362024,0
201.362702,0
201.363379,0
201.364057,0
201.450137,0
201.450815,0
201.451493,0
201.452171,0
201.452849,0.570366
201.453527,3.493203
201.454205,6.278942
201.454883,7.890104
201.455561,7.05602
201.456239,4.019533
201.456917,0.023474
201.457596,0
201.458274,0
201.458952,0
201.45963,0
201.473192,0
201.47387,0
201.474548,0
201.475226,0
201.475904,0.453278
201.476582,3.686568
201.47726,5.997883
201.477939,6.616112
201.478617,5.22181
201.479295,2.756029
201.479973,0.016287
201.480651,0
201.481329,0
201.482008,0
201.482686,0
201.660486,0
201.661165,0
201.661844,0
201.662523,0
201.663202,0.545558
201.663882,3.473649
201.664561,6.504528
201.66524,8.339736
201.665919,7.78778
201.666598,4.804271
201.667277,0.029764
201.667956,0
201.668635,0
201.669314,0
201.669994,0
201.742679,0
201.743359,0
201.744038,0
201.744718,0
201.745397,0.709596
201.746077,6.607713
201.746757,13.394456
201.747436,16.911533
201.748116,14.325943
201.748795,7.295804
201.749475,0.018706
201.750154,0
201.750834,0
201.751513,0
201.752193,0
201.915381,0
201.916062,0
201.916742,0
201.917422,0
201.918103,1.814095
201.918783,7.244443
201.919463,12.589781
201.920144,12.944173
201.920824,8.229101
201.921505,2.209395
201.922185,0
201.922865,0
201.923546,0
201.924226,0
201.92967,0
201.93035,0
201.93103,0
201.931711,0
201.932391,3.870279
201.933072,14.944984
201.933752,22.118373
201.934433,22.925038
201.935113,16.83549
201.935794,7.247151
201.936474,0.047916
201.937155,0
201.937835,0
201.938516,0
201.939196,0
202.097161,0
202.097842,0
202.098524,0
202.099205,0
202.099886,2.314919
202.100568,5.016975
202.101249,6.44569
202.10193,5.746041
202.102611,3.068278
202.103293,0
202.103974,0
202.104655,0
202.105337,0
202.323537,0
202.32422,0
202.324902,0
202.325584,0
202.326267,23.316066
202.326949,129.652325
202.327632,188.132628
202.328314,193.410203
202.328997,140.291825
202.329679,62.100886
202.330362,0
202.331044,0
202.331727,0
202.332409,0
202.389066,0
202.389749,0
202.390432,0
202.391114,0
202.391797,0.632407
202.39248,3.796565
202.393163,6.837821
202.393846,8.036953
202.394528,6.494876
202.395211,3.246832
202.395894,0.023972
202.396577,0
202.39726,0
202.397942,0
202.398625,0
202.661763,0
202.662447,0
202.663131,0
202.663815,0
202.664499,4.610644
202.665183,9.307929
202.665868,11.104268
202.666552,9.202976
202.667236,5.178826
202.66792,1.164584
202.668604,0.008943
202.669288,0
202.669973,0
202.670657,0
202.671341,0
202.998094,0
202.998779,0
202.999465,0
203.000151,0
203.000837,3.338975
203.001523,9.039733
203.002209,12.051838
203.002895,18.450193
203.00358,46.177143
203.004266,103.468944
203.004952,175.239825
203.005638,208.234871
203.006324,167.55948
203.00701,91.194438
203.007696,36.357761
203.008382,15.293481
203.009068,5.624408
203.009753,0.046838
203.010439,0
203.011125,0
203.011811,0
203.012497,0
203.043367,0
203.044053,0
203.044739,0
203.045425,0
203.046111,0.670454
203.046797,3.553718
203.047483,6.114044
203.048169,7.011109
203.048856,5.344981
203.049542,1.954518
203.050228,0
203.050914,0
203.0516,0
203.052286,0
203.090028,0
203.090714,0
203.091401,0
203.092087,0
203.092773,0.938901
203.093459,14.693957
203.094146,32.224263
203.094832,39.986679
203.095518,32.808249
203.096205,16.454853
203.096891,0.140392
203.097578,0
203.098264,0
203.09895,0
203.099637,0
203.100323,0
203.101009,0
203.101696,0
203.102382,0
203.103068,2.78609
203.103755,12.184086
203.104441,23.855148
203.105128,29.130111
203.105814,23.362665
203.1065,11.117872
203.107187,1.002758
203.107873,0
203.10856,0
203.109246,0
203.109932,0
203.138078,0
203.138765,0
203.139451,0
203.140138,0
203.140824,2.364575
203.141511,8.683237
203.142198,13.51778
203.142884,12.969579
203.143571,7.062647
203.144257,1.164281
203.144944,0
203.14563,0
203.146317,0
203.147004,0
203.171723,0
203.17241,0
203.173097,0
203.173784,0
203.17447,0.025293
203.175157,8.629996
203.175844,26.115667
203.176531,47.145603
203.177217,58.405749
203.177904,51.368177
203.178591,31.010317
203.179278,10.359622
203.179964,1.207913
203.180651,0
203.181338,0
203.182025,0
203.182711,0
203.214307,0
203.214994,0
203.215681,0
203.216368,0
203.217055,0.427211
203.217742,16.819413
203.218429,86.197572
203.219116,318.445156
203.219803,931.152735
203.22049,1658.688875
203.221177,2162.377463
203.221864,1856.112316
203.222551,1195.164812
203.223238,518.042719
203.223925,159.70359
203.224612,32.955383
203.225299,8.677726
203.225986,6.620916
203.226673,2.869783
203.22736,0
203.228047,0
203.228734,0
203.229421,0
203.236291,0
203.236978,0
203.237665,0
203.238352,0
203.239039,0.289321
203.239726,3.671811
203.240413,6.266336
203.2411,7.356314
203.241787,5.996498
203.242474,3.066422
203.243162,0
203.243849,0
203.244536,0
203.245223,0
203.24591,0
203.246597,0
203.247284,2.815837
203.247971,5.348181
203.248658,6.635079
203.249346,5.891075
203.250033,3.230563
203.25072,0
203.251407,0
203.252094,0
203.252781,0
203.399908,0
203.400596,0
203.401284,0
203.401972,0
203.402659,3.799087
203.403347,6.333197
203.404035,7.450422
203.404723,6.421957
203.405411,3.675399
203.406099,0
203.406787,0
203.407475,0
203.408163,0
203.678786,0
203.679476,0
203.680165,0
203.680854,0
203.681544,7.919055
203.682233,13.695398
203.682922,15.917506
203.683611,14.211824
203.684301,9.533858
203.68499,1.391141
203.685679,0.012579
203.686369,0
203.687058,0
203.687747,0
203.688437,0
203.806366,0
203.807056,0
203.807746,0
203.808436,0
203.809126,0.029209
203.809816,3.423083
203.810506,5.802254
203.811196,6.476729
203.811886,4.929184
203.812576,2.023581
203.813266,0
203.813956,0
