Mass,Intensity
198.011103,0
198.011764,0
198.012424,0
198.013085,0
200.085423,0
200.086094,0
200.086765,0
200.087436,0
200.088107,1.771445
200.088778,5.396212
200.08945,15.231942
200.090121,34.910252
200.090792,55.757686
200.091463,64.490264
200.092134,54.88627
200.092805,34.185776
200.093477,15.436909
200.094148,5.853645
200.094819,1.465986
200.09549,0.008736
200.096161,0
200.096832,0
200.097504,0
200.098175,0
200.198893,0
200.199565,0
200.200236,0
200.200908,0
200.20158,1.792223
200.202251,3.702272
200.202923,4.615331
200.203595,3.977895
200.204267,2.128884
200.204938,0.217691
200.20561,0.001177
200.206282,0
200.206954,0
200.207625,0
200.208297,0
200.276834,0
200.277506,0
200.278178,0
200.27885,0
200.279522,7.56015
200.280194,12.25135
200.280866,13.883381
200.281538,11.439974
200.282211,5.783387
200.282883,0.146699
200.283555,0.000724
200.284227,0
200.284899,0
200.285571,0
200.286243,0
200.45977,0
200.460443,0
200.461116,0
200.461789,0
200.462462,0.070897
200.463135,2.140058
200.463808,4.120389
200.464481,5.405702
200.465154,5.222442
200.465827,3.61632
200.4665,1.575944
200.467173,0.011193
200.467846,0
200.468519,0
200.469193,0
200.469866,0
200.491406,0
200.492079,0
200.492752,0
200.493425,0
200.494098,0.726378
200.494772,4.631231
200.495445,7.78846
200.496118,8.549719
200.496791,6.190666
200.497464,2.493746
200.498138,0
200.498811,0
200.499484,0
200.500157,0
200.5547,0
200.555373,0
200.556047,0
200.55672,0
200.557394,0.228771
200.558067,2.413983
200.558741,4.157206
200.559414,4.928149
200.560088,4.201822
200.560761,2.357227
200.561435,0.01737
200.562108,0
200.562782,0
200.563455,0
200.564129,0
200.596463,0
200.597137,0
200.59781,0
200.598484,0
200.599158,2.28043
200.599832,10.083515
200.600505,17.401399
200.601179,19.365837
200.601853,15.075924
200.602526,6.205428
200.6032,0
200.603874,3.922654
200.604548,13.705696
200.605221,18.580166
200.605895,18.222868
200.606569,12.546691
200.607243,5.174779
200.607916,2.091036
200.60859,3.951487
200.609264,4.655629
200.609938,3.564157
200.610612,1.504797
200.611285,0
200.611959,0
200.612633,0
200.613307,0
200.614654,0
200.615328,0
200.616002,0
200.616676,0
200.61735,3.127437
200.618023,6.59778
200.618697,8.241103
200.619371,6.801639
200.620045,3.375003
200.620719,0.431957
200.621393,0.003107
200.622066,0
200.62274,0
200.623414,0
200.624088,0
200.636892,0
200.637566,0
200.638239,0
200.638913,0
200.639587,0.282262
200.640261,2.481361
200.640935,4.540553
200.641609,5.293434
200.642283,4.248078
200.642957,2.170585
200.643631,0.01648
200.644305,0
200.644979,0
200.645653,0
200.646327,0
200.695535,0
200.696209,0
200.696883,0
200.697557,0
200.698232,0.31172
200.698906,3.306831
200.69958,4.711855
200.700254,4.920113
200.700929,3.72911
200.701603,1.804826
200.702277,0
200.702951,0
200.703626,0
200.7043,0
200.748133,0
200.748808,0
200.749482,0
200.750157,0
200.750831,0.165348
200.751506,1.90874
200.75218,4.068718
200.752855,5.131874
200.753529,4.186753
200.754204,1.969135
200.754878,0.015549
200.755553,0
200.756227,0
200.756902,0
200.757576,0
200.764322,0
200.764996,0
200.765671,0
200.766345,0
200.76702,0.169232
200.767695,2.837145
200.768369,4.420403
200.769044,4.827565
200.769718,3.770855
200.770393,1.848733
200.771067,0
200.771742,0
200.772417,0
200.773091,0
200.775115,0
200.77579,0
200.776464,0
200.777139,0
200.777814,3.099254
200.778488,5.496418
200.779163,5.646048
200.779837,3.85514
200.780512,1.516502
200.781187,0.012047
200.781861,0
200.782536,0
200.783211,0
200.783885,0
200.917533,0
200.918209,0
200.918884,0
200.919559,0
200.920235,2.669264
200.92091,7.856939
200.921585,9.532659
200.922261,8.496048
200.922936,5.343437
200.923611,2.078026
200.924287,0
200.924962,0
200.925638,0
200.926313,0
201.035768,0
201.036444,0
201.03712,0
201.037796,0
201.038471,0.21871
201.039147,2.261161
201.039823,3.598803
201.040499,3.850671
201.041175,2.900402
201.041851,1.290512
201.042527,0
201.043203,0
201.043879,0
201.044555,0
201.079034,0
201.07971,0
201.080386,0
201.081062,0
201.081738,0.579422
201.082415,3.540917
201.083091,7.661781
201.083767,9.0093
201.084443,6.656413
201.085119,2.469161
201.085795,0
201.086472,0
201.087148,0
201.087824,0
201.133136,0
201.133812,0
201.134489,0
201.135165,0
201.135842,2.518393
201.136518,6.534103
201.137195,8.763822
201.137871,7.723481
201.138547,4.092708
201.139224,4.827874
201.1399,10.120635
201.140577,13.771713
201.141253,13.37194
201.14193,9.414693
201.142606,3.248906
201.143283,0
201.143959,0
201.144636,0
201.145312,0
201.152754,0
201.15343,0
201.154107,0
201.154783,0
201.15546,1.01663
201.156136,7.868667
201.156813,25.989949
201.157489,50.224279
201.158166,67.57136
201.158842,66.531628
201.159519,49.815047
201.160195,26.736852
201.160872,13.424765
201.161548,5.636627
201.162225,2.13164
201.162902,0.054284
201.163578,0.000324
201.164255,0
201.164931,0
201.165608,0
201.166284,0
201.19335,0
201.194027,0
201.194704,0
201.195381,0
201.196057,0.292173
201.196734,3.013441
201.197411,4.431843
201.198088,4.795992
201.198764,3.70459
201.199441,1.793144
201.200118,0
201.200795,0
201.201471,0
201.202148,0
201.310474,0
201.311151,0
201.311828,0
201.312506,0
201.313183,0.253686
201.31386,2.696628
201.314538,4.192858
201.315215,4.708517
201.315892,3.950828
201.31657,2.26008
201.317247,0.021499
201.317924,0
201.318602,0
201.319279,0
201.319956,0
201.431089,0
201.431767,0
201.432445,0
201.433123,0
201.433801,0.245155
201.434479,2.61058
201.435157,4.216349
201.435835,4.799379
201.436512,3.583063
201.43719,1.509587
201.437868,0
201.438546,0
201.439224,0
201.439902,0
201.44058,0
201.441258,0
201.441936,1.725616
201.442614,3.792192
201.443292,7.839949
201.44397,9.535274
201.444648,8.986787
201.445326,6.270826
201.446004,2.31961
201.446682,0
201.44736,0
201.448038,0
201.448716,0
201.620361,0
201.62104,0
201.621719,0
201.622398,0
201.623077,2.358869
201.623756,4.364133
201.624435,5.263365
201.625114,4.52502
201.625793,2.831011
201.626471,0.029441
201.62715,0
201.627829,0
201.628508,0
201.629187,0
201.670608,0
201.671287,0
201.671966,0
201.672645,0
201.673324,0.257943
201.674003,2.635317
201.674682,4.913918
201.675361,5.807819
201.676041,4.72793
201.67672,2.49781
201.677399,0.026252
201.678078,0
201.678757,0
201.679436,0
201.680116,0
201.868379,0
201.869059,0
201.869739,0
201.870419,0
201.871099,0.238704
201.87178,2.397865
201.87246,4.239604
201.87314,4.8273
201.87382,4.042642
201.8745,2.225655
201.87518,0
201.875861,0
201.876541,0
201.877221,0
201.880622,0
201.881302,0
201.881982,0
201.882662,0
201.883343,0.294711
201.884023,2.862433
201.884703,4.391719
201.885383,4.917587
201.886063,4.072546
201.886744,2.001063
201.887424,0
201.888104,0
201.888784,0
201.889465,0
201.973159,0
201.97384,0
201.974521,0
201.975201,0
201.975882,0.285492
201.976563,2.925905
201.977243,4.399483
201.977924,4.759809
201.978605,3.680454
201.979285,1.807719
201.979966,0.141784
201.980647,0.001408
201.981327,0
201.982008,0
201.982689,0
201.983369,0
202.035794,0
202.036475,0
202.037156,0
202.037837,0
202.038518,0.222366
202.039199,2.255681
202.03988,4.328054
202.040561,5.219774
202.041242,4.201317
202.041923,1.978168
202.042604,0
202.043285,0
202.043966,0
202.044647,0
202.088921,0
202.089602,0
202.090283,0
202.090964,0
202.091646,2.544207
202.092327,4.264894
202.093008,4.870754
202.093689,3.933086
202.094371,2.164389
202.095052,0.025105
202.095733,0
202.096414,0
202.097096,0
202.097777,0
202.126394,0
202.127076,0
202.127757,0
202.128438,0
202.12912,0.264936
202.129801,2.621245
202.130483,4.055244
202.131164,4.558497
202.131846,3.802203
202.132527,1.940028
202.133209,0
202.13389,0
202.134572,0
202.135253,0
202.206827,0
202.207509,0
202.208191,0
202.208872,0
202.209554,7.039654
202.210236,19.009469
202.210918,24.934551
202.2116,24.909743
