Mass,Intensity
198.011925,0
198.012586,0
198.013247,0
198.013907,0
200.059415,0
200.060086,0
200.060757,0
200.061428,0
200.062099,2.489383
200.06277,9.126277
200.063441,13.948962
200.064112,15.513859
200.064783,13.077674
200.065454,6.525115
200.066125,0.036523
200.066796,0
200.067467,0
200.068138,0
200.068809,0
200.086929,0
200.0876,0
200.088271,0
200.088943,0
200.089614,10.240974
200.090285,19.808246
200.090956,23.276809
200.091627,18.687587
200.092298,9.589357
200.09297,0.054383
200.093641,0
200.094312,0
200.094983,0
200.095654,0
200.202416,0
200.203088,0
200.203759,0
200.204431,0
200.205103,2.521226
200.205774,9.227218
200.206446,13.775793
200.207118,14.10412
200.20779,10.018133
200.208461,4.008521
200.209133,0
200.209805,0
200.210477,0
200.211148,0
200.504361,0
200.505035,0
200.505708,0
200.506381,0
200.507054,2.249788
200.507728,8.566332
200.508401,13.6291
200.509074,15.41608
200.509747,12.969463
200.510421,6.738107
200.511094,0.045777
200.511767,0
200.512441,0
200.513114,0
200.513787,0
200.574397,0
200.575071,0
200.575744,0
200.576418,0
200.577092,2.315066
200.577765,8.971461
200.578439,14.157102
200.579112,14.683329
200.579786,10.145619
200.58046,3.632457
200.581133,0
200.581807,0
200.582481,0
200.583154,0
200.894064,0
200.894739,0
200.895415,0
200.89609,0
200.896765,2.797462
200.89744,9.956437
200.898115,14.5113
200.898791,15.055082
200.899466,11.562688
200.900141,5.43364
200.900816,0.041756
200.901492,0
200.902167,0
200.902842,0
200.903517,0
200.993357,0
200.994032,0
200.994708,0
200.995384,0
200.99606,3.029199
200.996735,10.66448
200.997411,14.934768
200.998087,14.790738
200.998762,10.000916
200.999438,3.601609
201.000114,0
201.00079,0
201.001465,0
201.002141,0
201.004844,0
201.00552,0
201.006196,0
201.006872,0
201.007547,2.126308
201.008223,8.860125
201.008899,12.985361
201.009575,13.83918
201.01025,10.852492
201.010926,5.127137
201.011602,0.041611
201.012278,0
201.012954,0
201.013629,0
201.014305,0
201.152919,0
201.153596,0
201.154272,0
201.154949,0
201.155625,4.955443
201.156302,21.78958
201.156978,56.751812
201.157655,93.093783
201.158331,108.676855
201.159008,92.48939
201.159684,57.480237
201.160361,26.393891
201.161037,4.48113
201.161714,0.036907
201.162391,0
201.163067,0
201.163744,0
201.16442,0
