Mass,Intensity
198.012331,0
198.012991,0
198.013652,0
198.014313,0
200.085999,0
200.08667,0
200.087341,0
200.088012,0
200.088683,1.245441
200.089355,8.650002
200.090026,23.398662
200.090697,43.425652
200.091368,59.935927
200.092039,61.091492
200.09271,45.011587
200.093382,24.116386
200.094053,7.887637
200.094724,1.010273
200.095395,0
200.096066,0
200.096738,0
200.097409,0
200.133658,0
200.13433,0
200.135001,0
200.135672,0
200.136344,1.236414
200.137015,4.879795
200.137687,8.411663
200.138358,9.858311
200.139029,8.747458
200.139701,5.240741
200.140372,1.370874
200.141044,0
200.141715,0
200.142386,0
200.143058,0
200.239778,0
200.24045,0
200.241122,0
200.241794,0
200.242466,0.826133
200.243138,4.512723
200.24381,8.021998
200.244482,9.435991
200.245154,8.297042
200.245826,4.909722
200.246498,1.2717
200.24717,0
200.247842,0
200.248513,0
200.249185,0
200.461694,0
200.462367,0
200.46304,0
200.463713,0
200.464386,1.132277
200.465059,4.601814
200.465732,8.272961
200.466405,9.818949
200.467078,8.305466
200.467751,4.533074
200.468424,0.747141
200.469097,0
200.46977,0
200.470444,0
200.471117,0
200.544502,0
200.545176,0
200.545849,0
200.546523,0
200.547196,1.065393
200.54787,4.310199
200.548543,8.080826
200.549216,9.968455
200.54989,8.745789
200.550563,5.003973
200.551237,1.284934
200.55191,0
200.552584,0
200.553257,0
200.553931,0
200.594347,0
200.59502,0
200.595694,0
200.596368,0
200.597041,3.674585
200.597715,11.152627
200.598389,17.841206
200.599063,19.51887
200.599736,15.050535
200.60041,5.510381
200.601084,0.454369
200.601758,0
200.602431,0
200.603105,0
200.603779,0
200.906633,0
200.907308,0
200.907984,0
200.908659,0
200.909334,0.685902
200.91001,4.227992
200.910685,8.197504
200.91136,10.039783
200.912035,8.735122
200.912711,5.078906
200.913386,1.311949
200.914061,0
200.914737,0
200.915412,0
200.916087,0
200.943778,0
200.944454,0
200.945129,0
200.945805,0
200.94648,1.461097
200.947156,5.82084
200.947831,10.175516
200.948507,12.090604
200.949182,10.997706
200.949858,6.959242
200.950533,1.921376
200.951209,0
200.951884,0
200.95256,0
200.953235,0
201.022155,0
201.02283,0
201.023506,0
201.024182,0
201.024858,1.449568
201.025534,5.937369
201.02621,11.403465
201.026886,14.211352
201.027561,12.681725
201.028237,7.506613
201.028913,1.993927
201.029589,0
201.030265,0
201.030941,0
201.031617,0
201.055952,0
201.056628,0
201.057304,0
201.05798,0
201.058656,4.958645
201.059332,13.812828
201.060008,20.369494
201.060684,20.715345
201.06136,14.614318
201.062036,5.46868
201.062712,0
201.063388,0
201.064064,0
201.06474,0
201.095843,0
201.096519,0
201.097195,0
201.097872,0
201.098548,0.483371
