Mass,Intensity
198.012331,0
198.012991,0
198.013652,0
198.014313,0
200.068547,0
200.069218,0
200.069889,0
200.07056,0
200.071231,2.33868
200.071902,5.322628
200.072574,7.448561
200.073245,7.480865
200.073916,5.180607
200.074587,1.095521
200.075258,0
200.075929,0
200.0766,0
200.077271,0
200.085996,0
200.086667,0
200.087338,0
200.088009,0
200.08868,4.483349
200.089351,19.91849
200.090023,42.830904
200.090694,60.404033
200.091365,60.77967
200.092036,43.992115
200.092707,21.625406
200.093378,5.614302
200.09405,0.561822
200.094721,0
200.095392,0
200.096063,0
200.096734,0
200.143055,0
200.143726,0
200.144397,0
200.145069,0
200.14574,0.142831
200.146412,2.903815
200.147083,5.433442
200.147755,6.407327
200.148426,5.323964
200.149098,2.84196
200.149769,0.252359
200.15044,0
200.151112,0
200.151783,0
200.152455,0
200.193421,0
200.194093,0
200.194764,0
200.195436,0
200.196108,0.565313
200.196779,3.177254
200.197451,6.118205
200.198123,7.965295
200.198794,7.831554
200.199466,5.803339
200.200138,2.624284
200.20081,0.029881
200.201481,0
200.202153,0
200.202825,0
200.203497,0
200.212229,0
200.212901,0
200.213573,0
200.214245,0
200.214916,0.095448
200.215588,2.37371
200.21626,4.949232
200.216932,6.397638
200.217604,6.000179
200.218275,3.609184
200.218947,0.717643
200.219619,0
200.220291,0
200.220963,0
200.221634,0
200.501405,0
200.502078,0
200.502751,0
200.503424,0
200.504098,0.592178
200.504771,3.015165
200.505444,5.191902
200.506117,6.112727
200.506791,5.583106
200.507464,3.648046
200.508137,0.509307
200.50881,0
200.509484,0
200.510157,0
200.51083,0
200.974173,0
200.974848,0
200.975524,0
200.9762,0
200.976875,2.450578
200.977551,5.185665
200.978227,6.617823
200.978902,5.91652
200.979578,3.711783
200.980253,0.756536
200.980929,0
200.981605,0
200.98228,0
200.982956,0
201.024177,0
201.024853,0
201.025529,0
201.026205,0
201.026881,0.026731
201.027557,2.634313
201.028233,6.414296
201.028909,9.492338
201.029584,9.839781
201.03026,7.342036
201.030936,3.383158
201.031612,0.228647
201.032288,0
201.032964,0
201.03364,0
201.034316,0
201.060679,0
201.061355,0
201.062031,0
201.062707,0
201.063383,1.920154
201.064059,7.081846
201.064735,10.998179
201.065411,11.078842
201.066087,7.49415
201.066764,1.855747
201.06744,0
201.068116,0
201.068792,0
201.069468,0
201.071496,0
201.072172,0
201.072848,0
201.073525,0
201.074201,1.107799
201.074877,5.853217
201.075553,11.124243
201.076229,13.313594
201.076905,10.984449
201.077581,6.151743
201.078257,1.810521
201.078934,0.201284
201.07961,0
201.080286,0
201.080962,0
201.081638,0
201.141153,0
201.141829,0
201.142506,0
201.143182,0
201.143859,0.275809
