Mass,Intensity
198.012331,0
198.012991,0
198.013652,0
198.014313,0
200.030977,0
200.031648,0
200.032319,0
200.032989,0
200.03366,0.362285
200.034331,2.996257
200.035002,5.97494
200.035673,7.256908
200.036344,6.411873
200.037015,3.709311
200.037686,1.011734
200.038357,0
200.039027,0
200.039698,0
200.040369,0
200.08667,0
200.087341,0
200.088012,0
200.088683,0
200.089355,2.445118
200.090026,7.981421
200.090697,11.495922
200.091368,10.882529
200.092039,6.486784
200.09271,1.768978
200.093382,0.063877
200.094053,0
200.094724,0
200.095395,0
200.096066,0
200.133658,0
200.13433,0
200.135001,0
200.135672,0
200.136344,3.462585
200.137015,10.695849
200.137687,16.583153
200.138358,17.317284
200.139029,12.59457
200.139701,5.739491
200.140372,1.189324
200.141044,0
200.141715,0
200.142386,0
200.143058,0
200.219622,0
200.220294,0
200.220966,0
200.221638,0
200.22231,0.255433
200.222982,2.929285
200.223653,6.611375
200.224325,8.417476
200.224997,6.872889
200.225669,3.321546
200.226341,0.439415
200.227013,0
200.227684,0
200.228356,0
200.229028,0
200.368175,0
200.368848,0
200.369521,0
200.370193,0
200.370866,0.8297
200.371538,4.027442
200.372211,7.115772
200.372883,8.196375
200.373556,6.976395
200.374229,4.072906
200.374901,1.146839
200.375574,0
200.376246,0
200.376919,0
200.377592,0
200.378264,0
200.378937,0
200.379609,0
200.380282,0
200.380955,0.920128
200.381627,3.786891
200.3823,7.074987
200.382973,8.50489
200.383645,7.282574
200.384318,4.242962
200.38499,1.212915
200.385663,0
200.386336,0
200.387008,0
200.387681,0
200.474482,0
200.475155,0
200.475828,0
200.476501,0
200.477174,2.203824
200.477848,7.623839
200.478521,12.93936
200.479194,14.517241
200.479867,10.931246
200.48054,4.963159
200.481213,0.627851
200.481886,0
200.482559,0
200.483233,0
200.483906,0
200.548543,0
200.549216,0
200.54989,0
200.550563,0
200.551237,0.869963
200.55191,3.665599
200.552584,7.062589
200.553257,8.733025
200.553931,7.5516
200.554604,4.160484
200.555278,1.052204
200.555951,0
200.556625,0
200.557298,0
200.557972,0
200.558645,0
200.559319,0
200.559992,0
200.560666,0.42971
200.56134,2.99521
200.562013,6.238626
200.562687,7.793254
200.56336,6.734178
200.564034,3.576727
200.564707,2.059723
200.565381,4.544791
200.566054,8.090862
200.566728,9.511471
200.567401,8.269899
200.568075,5.069945
200.568749,1.539706
200.569422,0
200.570096,0
200.570769,0
200.571443,0
200.573464,0
200.574137,0
200.574811,0
200.575484,0
200.576158,0.183576
200.576832,2.916165
200.577505,7.71961
200.578179,11.644565
200.578852,12.885271
200.579526,10.395306
200.5802,3.974117
200.580873,0.027772
200.581547,0
200.582221,0
200.582894,0
