Mass,Intensity
198.012336,0
198.012997,0
198.013658,0
198.014318,0
200.14642,0
200.147092,0
200.147763,0
200.148435,0
200.149106,0.200931
200.149778,2.730218
200.150449,4.622898
200.151121,5.411749
200.151792,4.894717
200.152463,2.543411
200.153135,0
200.153806,0
200.154478,0
200.155149,0
200.237768,0
200.23844,0
200.239112,0
200.239784,0
200.240455,0.52932
200.241127,2.219632
200.241799,3.495274
200.242471,3.803932
200.243143,3.038448
200.243815,1.517112
200.244487,0
200.245159,0
200.245831,0
200.246503,0
200.27876,0
200.279432,0
200.280104,0
200.280777,0
200.281449,0.195476
200.282121,2.031623
200.282793,3.822023
200.283465,4.606385
200.284137,4.061882
200.284809,2.455013
200.285481,0.509933
200.286154,0
200.286826,0
200.287498,0
200.28817,0
200.311698,0
200.31237,0
200.313042,0
200.313714,0
200.314387,0.120679
200.315059,2.722717
200.315731,5.180818
200.316404,6.048966
200.317076,5.267549
200.317748,3.242593
200.318421,0.858387
200.319093,0
200.319765,0
200.320437,0
200.32111,0
200.350695,0
200.351368,0
200.35204,0
200.352713,0
200.353385,2.201071
200.354058,4.607239
200.35473,5.706531
200.355403,5.013808
200.356075,2.967692
200.356748,0.451363
200.35742,0
200.358093,0
200.358765,0
200.359438,0
200.395758,0
200.396431,0
200.397104,0
200.397777,0
200.398449,0.406943
200.399122,2.319473
200.399795,4.229309
200.400467,5.104166
200.40114,4.546476
200.401813,2.791718
200.402486,0.768835
200.403158,0
200.403831,0
200.404504,0
200.405177,0
200.406522,0
200.407195,0
200.407868,0
200.40854,0
200.409213,0.486509
200.409886,2.731867
200.410559,4.794633
200.411231,5.453976
200.411904,3.998717
200.412577,1.627943
200.41325,0
200.413923,0
200.414595,0
200.415268,0
200.582226,0
200.582899,0
200.583573,0
200.584247,0
200.58492,1.556323
200.585594,3.126608
200.586268,3.955299
200.586941,3.881023
200.587615,2.6993
200.588289,0.686522
200.588962,0
200.589636,0
200.59031,0
200.590983,0
200.621303,0
200.621976,0
200.62265,0
200.623324,0
200.623998,0.408516
200.624672,2.389332
200.625346,4.368654
200.626019,5.291955
200.626693,4.582196
200.627367,2.624593
200.628041,0.493816
200.628715,0
200.629389,0
200.630063,0
200.630737,0
200.715673,0
200.716347,0
200.717021,0
200.717696,0
200.71837,0.422707
200.719044,2.478969
200.719718,4.720179
200.720393,5.531528
200.721067,4.335522
200.721741,1.88704
200.722416,0.086793
200.72309,0
200.723765,0
200.724439,0
200.725113,0
201.040409,0
201.041085,0
201.041761,0
201.042437,0
201.043113,2.328507
201.043789,5.003461
201.044465,5.991311
201.045141,5.012226
201.045817,2.831229
201.046493,0.450697
201.047169,0
201.047845,0
201.048521,0
201.049197,0
201.113431,0
201.114107,0
201.114784,0
201.11546,0
201.116136,0.998415
201.116813,4.308102
201.117489,6.526226
201.118165,6.881407
201.118842,4.908895
201.119518,1.908299
201.120194,0
201.120871,0
201.121547,0
201.122224,0
