Mass,Intensity
198.012336,0
198.012997,0
198.013658,0
198.014318,0
200.024945,0
200.025615,0
200.026286,0
200.026957,0
200.027628,0.689234
200.028299,3.700604
200.02897,7.711676
200.029641,10.200653
200.030311,9.447493
200.030982,5.554207
200.031653,0.787531
200.032324,0
200.032995,0
200.033666,0
200.034337,0
200.384323,0
200.384996,0
200.385669,0
200.386341,0
200.387014,1.089026
200.387687,4.276944
200.388359,7.617211
200.389032,8.806951
200.389704,7.378828
200.390377,4.148264
200.39105,1.161405
200.391723,0
200.392395,0
200.393068,0
200.393741,0
200.405849,0
200.406522,0
200.407195,0
200.407868,0
200.408541,1.150286
200.409213,4.546438
200.409886,8.104147
200.410559,9.286284
200.411232,7.681953
200.411904,3.925097
200.412577,0.625193
200.41325,0
200.413923,0
200.414596,0
200.415268,0
200.607827,0
200.6085,0
200.609174,0
200.609848,0
200.610522,0.552319
200.611196,3.376607
200.611869,7.003413
200.612543,8.745168
200.613217,7.741349
200.613891,4.266298
200.614565,0.879117
200.615238,0
200.615912,0
200.616586,0
200.61726,0
200.659043,0
200.659717,0
200.660391,0
200.661065,0
200.661739,0.843036
200.662413,3.555183
200.663087,6.803248
200.663761,8.253913
200.664435,7.081218
200.665109,4.062706
200.665783,1.160654
200.666457,0
200.667131,0
200.667805,0
200.668479,0
200.756812,0
200.757487,0
200.758161,0
200.758836,0
200.75951,0.769438
200.760185,4.238339
200.760859,7.69719
200.761534,8.835304
200.762208,7.348416
200.762883,4.194469
200.763557,1.241414
200.764232,0
200.764906,0
200.765581,0
200.766256,0
200.840478,0
200.841153,0
200.841828,0
200.842503,0
200.843178,1.22107
200.843853,5.670476
200.844528,9.791537
200.845203,11.715255
200.845878,10.417021
200.846553,5.530515
200.847228,0.780139
200.847903,0
200.848578,0
200.849253,0
200.849928,0
200.858028,0
200.858703,0
200.859378,0
200.860053,0
200.860728,1.839558
200.861403,6.97205
200.862078,11.88851
200.862753,13.076269
200.863428,10.405519
200.864103,5.326509
200.864778,1.051445
200.865453,0
200.866128,0
200.866803,0
200.867479,0
200.901912,0
200.902587,0
200.903262,0
200.903938,0
200.904613,0.704236
200.905288,4.610861
200.905963,8.632762
200.906639,9.924615
200.907314,7.59744
200.907989,3.674437
200.908664,0.84303
200.90934,0
200.910015,0
200.91069,0
200.911366,0
201.07083,0
201.071506,0
201.072183,0
201.072859,0
201.073535,1.011638
201.074211,5.372526
201.074887,9.543287
201.075563,10.234047
201.076239,7.769809
201.076915,3.919712
201.077591,0.998126
201.078268,0
201.078944,0
201.07962,0
201.080296,0
201.118166,0
201.118842,0
201.119518,0
201.120195,0
201.120871,3.59587
201.121547,11.870444
201.122224,17.397966
201.1229,20.119733
201.123577,17.422663
201.124253,10.339835
201.124929,3.310864
201.125606,0
201.126282,0
201.126958,0
201.127635,0
201.193937,0
201.194614,0
201.195291,0
201.195967,0
201.196644,1.133985
201.197321,4.641452
201.197997,8.710772
