Mass,Intensity
198.012336,0
198.012997,0
198.013658,0
198.014318,0
200.140378,0
200.141049,0
200.141721,0
200.142392,0
200.143063,0.688737
200.143735,3.055857
200.144406,5.940086
200.145078,7.443476
200.145749,6.742193
200.146421,4.127819
200.147092,1.222067
200.147763,0
200.148435,0
200.149106,0
200.149778,0
200.56606,0
200.566733,0
200.567407,0
200.56808,0
200.568754,0.776575
200.569428,3.391793
200.570101,6.440855
200.570775,7.814602
200.571448,6.701107
200.572122,3.792089
200.572795,1.055833
200.573469,0
200.574143,0
200.574816,0
200.57549,0
200.625346,0
200.62602,0
200.626694,0
200.627367,0
200.628041,0.253366
200.628715,2.504809
200.629389,5.634423
200.630063,7.787943
200.630737,7.492458
200.631411,4.796394
200.632085,1.480313
200.632758,0
200.633432,0
200.634106,0
200.63478,0
200.714998,0
200.715673,0
200.716347,0
200.717021,0
200.717696,0.867768
200.71837,3.710306
200.719044,6.878256
200.719719,8.215784
200.720393,7.009156
200.721067,4.102871
200.721742,1.134186
200.722416,0
200.72309,0
200.723765,0
200.724439,0
201.060013,0
201.060689,0
201.061365,0
201.062041,0
201.062717,0.067519
201.063393,3.11618
201.064069,6.516717
201.064746,8.164908
201.065422,7.079585
201.066098,3.868064
201.066774,0.774069
201.06745,0
201.068126,0
201.068802,0
201.069478,0
201.105316,0
201.105992,0
201.106668,0
201.107345,0
201.108021,1.170831
201.108697,4.422697
201.109374,7.015379
201.11005,7.150814
201.110726,5.371123
201.111402,2.445389
201.112079,0.116656
201.112755,0
201.113431,0
201.114108,0
201.114784,0
201.116813,0
201.117489,0
201.118166,0
201.118842,0
201.119518,0.396999
201.120195,2.047693
201.120871,5.241249
201.121547,8.000761
201.122224,8.589542
201.1229,6.380656
201.123577,2.998982
201.124253,0.585567
201.124929,0
201.125606,0
201.126282,0
201.126958,0
201.197321,0
201.197997,0
201.198674,0
201.199351,0
201.200028,0.534253
201.200704,2.611312
201.201381,5.768856
201.202058,8.278831
201.202735,8.711195
201.203411,6.860046
201.204088,3.761252
201.204765,1.0547
201.205442,0
201.206119,0
201.206795,0
201.207472,0
201.353061,0
201.353738,0
201.354416,0
201.355093,0
201.355771,0.876307
201.356449,4.48247
201.357126,7.088559
201.357804,7.439471
201.358481,5.708149
201.359159,2.742494
201.359836,0.223478
201.360514,0
201.361191,0
201.361869,0
201.362547,0
201.448626,0
201.449304,0
201.449982,0
201.45066,0
201.451338,0.255267
201.452016,2.781501
201.452694,5.69635
201.453372,8.473703
201.45405,11.787836
201.454728,12.984436
201.455406,10.976163
201.456084,7.63343
201.456762,3.980397
201.45744,1.014895
201.458118,0
201.458796,0
201.459474,0
201.460152,0
201.621629,0
201.622308,0
201.622987,0
201.623665,0
201.624344,0.826695
201.625023,3.242883
201.625702,5.913314
201.626381,6.970466
201.62706,5.708695
201.627739,3.020217
201.628418,0.759217
201.629097,0
201.629776,0
201.630455,0
201.631133,0
201.631812,0
