patientID,patientID.orig,experiment,loctation,Bacteria
Bl21001,Bl21-MAI-1a,Discovery,Wayne State,Bl21
Bl21001,Bl21-MAI-1b,Discovery,Wayne State,Bl21
Bl21001,Bl21-MAI-1c,Discovery,Wayne State,Bl21
Bl21002,Bl21-MAI-2a,Discovery,Wayne State,Bl21
Bl21002,Bl21-MAI-2b,Discovery,Wayne State,Bl21
Bl21002,Bl21-MAI-2c,Discovery,Wayne State,Bl21
Bl21003,Bl21-MAI-3a,Discovery,Wayne State,Bl21
Bl21003,Bl21-MAI-3b,Discovery,Wayne State,Bl21
Bl21003,Bl21-MAI-3c,Discovery,Wayne State,Bl21
Bl21004,Bl21-MAI-4a,Discovery,Wayne State,Bl21
Bl21004,Bl21-MAI-4b,Discovery,Wayne State,Bl21
Bl21004,Bl21-MAI-4c,Discovery,Wayne State,Bl21
Bl21005,Bl21-MAI-5a,Discovery,Wayne State,Bl21
Bl21005,Bl21-MAI-5b,Discovery,Wayne State,Bl21
Bl21005,Bl21-MAI-5c,Discovery,Wayne State,Bl21
Bl21006,Bl21-MAI-6a,Discovery,Wayne State,Bl21
Bl21006,Bl21-MAI-6b,Discovery,Wayne State,Bl21
Bl21006,Bl21-MAI-6c,Discovery,Wayne State,Bl21
Bl21007,Bl21-MAI-7a,Discovery,Wayne State,Bl21
Bl21007,Bl21-MAI-7b,Discovery,Wayne State,Bl21
Bl21007,Bl21-MAI-7c,Discovery,Wayne State,Bl21
DH10BH001,DH10BH-1c,Discovery,Wayne State,DH10B
DH10BH002,DH10BH-2a,Discovery,Wayne State,DH10B
DH10BH002,DH10BH-2b,Discovery,Wayne State,DH10B
DH10BH002,DH10BH-2c,Discovery,Wayne State,DH10B
DH10BH003,DH10BH-3a,Discovery,Wayne State,DH10B
DH10BH003,DH10BH-3b,Discovery,Wayne State,DH10B
DH10BH003,DH10BH-3c,Discovery,Wayne State,DH10B
DH10BH004,DH10BH-4a,Discovery,Wayne State,DH10B
DH10BH004,DH10BH-4b,Discovery,Wayne State,DH10B
DH10BH004,DH10BH-4c,Discovery,Wayne State,DH10B
DH10BH005,DH10BH-5a,Discovery,Wayne State,DH10B
DH10BH005,DH10BH-5b,Discovery,Wayne State,DH10B
DH10BH005,DH10BH-5c,Discovery,Wayne State,DH10B
DH10BH006,DH10BH-6a,Discovery,Wayne State,DH10B
DH10BH006,DH10BH-6b,Discovery,Wayne State,DH10B
DH10BH006,DH10BH-6c,Discovery,Wayne State,DH10B
DH10BH007,DH10BH-7a,Discovery,Wayne State,DH10B
DH10BH007,DH10BH-7b,Discovery,Wayne State,DH10B
DH10BH007,DH10BH-7c,Discovery,Wayne State,DH10B
d5alphaH001,d5alpha-1a,Discovery,Wayne State,D5alpha
d5alphaH001,d5alpha-1b,Discovery,Wayne State,D5alpha
d5alphaH001,d5alpha-1c,Discovery,Wayne State,D5alpha
d5alphaH002,d5alpha-2a,Discovery,Wayne State,D5alpha
d5alphaH002,d5alpha-2b,Discovery,Wayne State,D5alpha
d5alphaH002,d5alpha-2c,Discovery,Wayne State,D5alpha
d5alphaH003,d5alpha-3a,Discovery,Wayne State,D5alpha
d5alphaH003,d5alpha-3b,Discovery,Wayne State,D5alpha
d5alphaH003,d5alpha-3c,Discovery,Wayne State,D5alpha
d5alphaH004,d5alpha-4a,Discovery,Wayne State,D5alpha
d5alphaH004,d5alpha-4b,Discovery,Wayne State,D5alpha
d5alphaH004,d5alpha-4c,Discovery,Wayne State,D5alpha
d5alphaH005,d5alpha-5a,Discovery,Wayne State,D5alpha
d5alphaH005,d5alpha-5b,Discovery,Wayne State,D5alpha
d5alphaH005,d5alpha-5c,Discovery,Wayne State,D5alpha
d5alphaH006,d5alpha-6a,Discovery,Wayne State,D5alpha
d5alphaH006,d5alpha-6b,Discovery,Wayne State,D5alpha
d5alphaH006,d5alpha-6c,Discovery,Wayne State,D5alpha
d5alphaH007,d5alpha-7a,Discovery,Wayne State,D5alpha
d5alphaH007,d5alpha-7b,Discovery,Wayne State,D5alpha
d5alphaH007,d5alpha-7c,Discovery,Wayne State,D5alpha
DH10BH001,DH10BH-1a,Discovery,Wayne State,DH10B
DH10BH001,DH10BH-1b,Discovery,Wayne State,DH10B
MV001,MV-MAI-1a,Discovery,Wayne State,MV1184a
MV001,MV-MAI-1b,Discovery,Wayne State,MV1184a
MV001,MV-MAI-1c,Discovery,Wayne State,MV1184a
MV002,MV-MAI-2a,Discovery,Wayne State,MV1184a
MV002,MV-MAI-2b,Discovery,Wayne State,MV1184a
MV002,MV-MAI-2c,Discovery,Wayne State,MV1184a
MV003,MV-MAI-3a,Discovery,Wayne State,MV1184a
MV003,MV-MAI-3b,Discovery,Wayne State,MV1184a
MV003,MV-MAI-3c,Discovery,Wayne State,MV1184a
MV004,MV-MAI-4a,Discovery,Wayne State,MV1184a
MV004,MV-MAI-4b,Discovery,Wayne State,MV1184a
MV004,MV-MAI-4c,Discovery,Wayne State,MV1184a
MV005,MV-MAI-5a,Discovery,Wayne State,MV1184a
MV005,MV-MAI-5b,Discovery,Wayne State,MV1184a
MV005,MV-MAI-5c,Discovery,Wayne State,MV1184a
MV006,MV-MAI-6a,Discovery,Wayne State,MV1184a
MV006,MV-MAI-6b,Discovery,Wayne State,MV1184a
MV006,MV-MAI-6c,Discovery,Wayne State,MV1184a
MV007,MV-MAI-7a,Discovery,Wayne State,MV1184a
MV007,MV-MAI-7b,Discovery,Wayne State,MV1184a
MV007,MV-MAI-7c,Discovery,Wayne State,MV1184a
nova001,nova-MAI-1a,Discovery,Wayne State,Nova
nova001,nova-MAI-1b,Discovery,Wayne State,Nova
nova001,nova-MAI-1c,Discovery,Wayne State,Nova
nova002,nova-MAI-2a,Discovery,Wayne State,Nova
nova002,nova-MAI-2b,Discovery,Wayne State,Nova
nova002,nova-MAI-2c,Discovery,Wayne State,Nova
nova003,nova-MAI-3a,Discovery,Wayne State,Nova
nova003,nova-MAI-3b,Discovery,Wayne State,Nova
nova003,nova-MAI-3c,Discovery,Wayne State,Nova
nova004,nova-MAI-4a,Discovery,Wayne State,Nova
nova004,nova-MAI-4b,Discovery,Wayne State,Nova
nova004,nova-MAI-4c,Discovery,Wayne State,Nova
nova005,nova-MAI-5a,Discovery,Wayne State,Nova
nova005,nova-MAI-5b,Discovery,Wayne State,Nova
nova005,nova-MAI-5c,Discovery,Wayne State,Nova
nova006,nova-MAI-6a,Discovery,Wayne State,Nova
nova006,nova-MAI-6b,Discovery,Wayne State,Nova
nova006,nova-MAI-6c,Discovery,Wayne State,Nova
nova007,nova-MAI-7a,Discovery,Wayne State,Nova
nova007,nova-MAI-7b,Discovery,Wayne State,Nova
nova007,nova-MAI-7c,Discovery,Wayne State,Nova
